
 ------------------------------------------------- 
[t=12000.0s] a=8493.07, goal=8134.60, Fs=0.0170, reward=-92.102
[t=24000.0s] a=8494.18, goal=8134.60, Fs=0.0110, reward=-94.122
[t=36000.0s] a=8495.27, goal=8134.60, Fs=0.0199, reward=-96.367
[t=48000.0s] a=8496.46, goal=8134.60, Fs=0.0091, reward=-98.323
[t=60000.0s] a=8497.82, goal=8134.60, Fs=0.0129, reward=-100.515
[t=72000.0s] a=8499.49, goal=8134.60, Fs=-0.0138, reward=-45.696
[t=84000.0s] a=8500.67, goal=8134.60, Fs=-0.0022, reward=-47.640
[t=96000.0s] a=8502.23, goal=8134.60, Fs=0.0573, reward=-107.622
[t=108000.0s] a=8503.31, goal=8134.60, Fs=-0.0201, reward=-52.173
[t=120000.0s] a=8504.28, goal=8134.60, Fs=0.0277, reward=-111.383
[t=132000.0s] a=8505.52, goal=8134.60, Fs=-0.0003, reward=-56.096
[t=144000.0s] a=8506.91, goal=8134.60, Fs=0.0738, reward=-116.338
[t=156000.0s] a=8508.57, goal=8134.60, Fs=0.0095, reward=-117.539
[t=168000.0s] a=8509.53, goal=8134.60, Fs=0.0042, reward=-119.556
[t=180000.0s] a=8510.64, goal=8134.60, Fs=0.0055, reward=-121.686
[t=192000.0s] a=8511.67, goal=8134.60, Fs=0.0131, reward=-123.903
[t=204000.0s] a=8512.42, goal=8134.60, Fs=-0.0228, reward=-69.125
[t=216000.0s] a=8513.19, goal=8134.60, Fs=0.0184, reward=-128.136
[t=228000.0s] a=8514.65, goal=8134.60, Fs=0.0054, reward=-130.086
[t=240000.0s] a=8515.89, goal=8134.60, Fs=0.0331, reward=-132.625
[t=252000.0s] a=8517.02, goal=8134.60, Fs=0.0130, reward=-134.438
[t=264000.0s] a=8518.52, goal=8134.60, Fs=0.0189, reward=-136.676
[t=276000.0s] a=8519.58, goal=8134.60, Fs=0.0237, reward=-138.853
[t=288000.0s] a=8520.47, goal=8134.60, Fs=-0.0195, reward=-83.879
[t=300000.0s] a=8521.73, goal=8134.60, Fs=0.0060, reward=-142.803
[t=312000.0s] a=8522.61, goal=8134.60, Fs=-0.0142, reward=-88.014
[t=324000.0s] a=8523.48, goal=8134.60, Fs=0.0252, reward=-147.267
