
 ------------------------------------------------- 
[t=12000.0s] a=8429.24, goal=8160.80, Fs=0.4658, reward=-86.845
[t=24000.0s] a=8424.96, goal=8160.80, Fs=-0.1292, reward=-35.416
[t=36000.0s] a=8415.49, goal=8160.80, Fs=-0.5156, reward=-40.469
[t=48000.0s] a=8405.34, goal=8160.80, Fs=0.8320, reward=-102.454
[t=60000.0s] a=8386.23, goal=8160.80, Fs=0.0301, reward=-106.543
[t=72000.0s] a=8367.83, goal=8160.80, Fs=0.1935, reward=-110.704
[t=84000.0s] a=8335.09, goal=8160.80, Fs=1.0000, reward=-63.430
[t=96000.0s] a=8308.00, goal=8160.80, Fs=-1.0000, reward=-59.721
[t=108000.0s] a=8268.63, goal=8160.80, Fs=-0.4609, reward=-61.783
[t=120000.0s] a=8223.16, goal=8160.80, Fs=-0.6812, reward=-63.236
[t=132000.0s] a=8170.53, goal=8160.80, Fs=1.0000, reward=-77.973
[t=144000.0s] a=8128.33, goal=8160.80, Fs=0.3205, reward=-72.247
[t=156000.0s] a=8079.87, goal=8160.80, Fs=-0.2363, reward=-90.092
[t=168000.0s] a=8032.85, goal=8160.80, Fs=1.0000, reward=-93.794
[t=180000.0s] a=7981.20, goal=8160.80, Fs=0.0428, reward=-104.960
[t=192000.0s] a=7954.25, goal=8160.80, Fs=0.6637, reward=-113.655
[t=204000.0s] a=7930.50, goal=8160.80, Fs=-0.1081, reward=-179.029
[t=216000.0s] a=7900.33, goal=8160.80, Fs=-0.9119, reward=-188.047
[t=228000.0s] a=7878.04, goal=8160.80, Fs=0.4682, reward=-139.276
[t=240000.0s] a=7864.86, goal=8160.80, Fs=-0.6778, reward=-203.594
[t=252000.0s] a=7863.77, goal=8160.80, Fs=-0.5203, reward=-209.703
[t=264000.0s] a=7849.34, goal=8160.80, Fs=0.2624, reward=-160.146
[t=276000.0s] a=7849.29, goal=8160.80, Fs=0.6494, reward=-166.151
[t=288000.0s] a=7848.44, goal=8160.80, Fs=1.0000, reward=-172.236
[t=300000.0s] a=7855.41, goal=8160.80, Fs=1.0000, reward=-177.539
[t=312000.0s] a=7865.41, goal=8160.80, Fs=-0.6020, reward=-239.538
[t=324000.0s] a=7872.98, goal=8160.80, Fs=0.8121, reward=-187.782
[t=336000.0s] a=7887.74, goal=8160.80, Fs=1.0000, reward=-192.306
[t=348000.0s] a=7898.90, goal=8160.80, Fs=0.2130, reward=-197.190
[t=360000.0s] a=7922.68, goal=8160.80, Fs=0.5268, reward=-200.812
[t=372000.0s] a=7939.88, goal=8160.80, Fs=1.0000, reward=-205.092
[t=384000.0s] a=7956.71, goal=8160.80, Fs=-0.7029, reward=-266.409
[t=396000.0s] a=7974.37, goal=8160.80, Fs=1.0000, reward=-213.643
[t=408000.0s] a=7987.43, goal=8160.80, Fs=-0.4011, reward=-225.337
[t=420000.0s] a=8006.73, goal=8160.80, Fs=-0.9524, reward=-229.407
[t=432000.0s] a=8047.95, goal=8160.80, Fs=0.4854, reward=-224.285
[t=444000.0s] a=8076.39, goal=8160.80, Fs=0.4929, reward=-227.440
[t=456000.0s] a=8093.35, goal=8160.80, Fs=-1.0000, reward=-238.744
[t=468000.0s] a=8113.35, goal=8160.80, Fs=-0.1647, reward=-242.744
[t=480000.0s] a=8153.21, goal=8160.80, Fs=0.1118, reward=-244.758
[t=492000.0s] a=8189.10, goal=8160.80, Fs=-0.7995, reward=-245.830
[t=504000.0s] a=8220.37, goal=8160.80, Fs=0.1503, reward=-261.958
[t=516000.0s] a=8252.46, goal=8160.80, Fs=1.0000, reward=-271.166
[t=528000.0s] a=8265.26, goal=8160.80, Fs=0.5503, reward=-278.446
[t=540000.0s] a=8293.89, goal=8160.80, Fs=-1.0000, reward=-280.310
[t=552000.0s] a=8328.61, goal=8160.80, Fs=0.6765, reward=-296.781
[t=564000.0s] a=8362.09, goal=8160.80, Fs=0.3705, reward=-356.129
[t=576000.0s] a=8392.06, goal=8160.80, Fs=1.0000, reward=-365.126
[t=588000.0s] a=8417.55, goal=8160.80, Fs=-0.1577, reward=-316.675
[t=600000.0s] a=8443.35, goal=8160.80, Fs=0.7183, reward=-382.256
[t=612000.0s] a=8465.35, goal=8160.80, Fs=0.7227, reward=-390.455
[t=624000.0s] a=8496.48, goal=8160.80, Fs=0.8299, reward=-399.568
[t=636000.0s] a=8526.70, goal=8160.80, Fs=0.6850, reward=-408.590
[t=648000.0s] a=8546.43, goal=8160.80, Fs=1.0000, reward=-416.563
[t=660000.0s] a=8571.30, goal=8160.80, Fs=0.0932, reward=-425.050
[t=672000.0s] a=8598.52, goal=8160.80, Fs=-0.1313, reward=-376.772
[t=684000.0s] a=8608.90, goal=8160.80, Fs=0.2852, reward=-440.810
[t=696000.0s] a=8621.25, goal=8160.80, Fs=-0.3577, reward=-391.045
[t=708000.0s] a=8630.49, goal=8160.80, Fs=1.0000, reward=-454.969
[t=720000.0s] a=8656.66, goal=8160.80, Fs=0.0278, reward=-463.587
[t=732000.0s] a=8672.13, goal=8160.80, Fs=1.0000, reward=-471.133
[t=744000.0s] a=8688.98, goal=8160.80, Fs=-0.3285, reward=-421.818
[t=756000.0s] a=8693.53, goal=8160.80, Fs=0.2784, reward=-485.273
[t=768000.0s] a=8698.94, goal=8160.80, Fs=-0.0289, reward=-434.814
[t=780000.0s] a=8681.28, goal=8160.80, Fs=-0.9803, reward=-439.048
[t=792000.0s] a=8681.66, goal=8160.80, Fs=-0.5019, reward=-445.086
[t=804000.0s] a=8681.70, goal=8160.80, Fs=-0.7110, reward=-451.091
[t=816000.0s] a=8675.24, goal=8160.80, Fs=-0.5498, reward=-456.444
[t=828000.0s] a=8669.12, goal=8160.80, Fs=0.0223, reward=-518.832
