
 ------------------------------------------------- 
[t=12000.0s] a=8408.58, goal=8223.76, Fs=-1.0000, reward=-25.482
[t=24000.0s] a=8383.73, goal=8223.76, Fs=0.6807, reward=-39.997
[t=36000.0s] a=8365.97, goal=8223.76, Fs=-1.0000, reward=-41.221
[t=48000.0s] a=8349.65, goal=8223.76, Fs=-1.0000, reward=-49.589
[t=60000.0s] a=8339.23, goal=8223.76, Fs=0.3401, reward=-65.547
[t=72000.0s] a=8305.40, goal=8223.76, Fs=1.0000, reward=-72.164
[t=84000.0s] a=8285.14, goal=8223.76, Fs=-1.0000, reward=-73.138
[t=96000.0s] a=8277.71, goal=8223.76, Fs=-0.5037, reward=-82.394
[t=108000.0s] a=8259.83, goal=8223.76, Fs=-1.0000, reward=-90.607
[t=120000.0s] a=8247.73, goal=8223.76, Fs=1.0000, reward=-106.397
[t=132000.0s] a=8231.85, goal=8223.76, Fs=-1.0000, reward=-94.809
 SUCCESS #1 of #1 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7588.17, goal=7905.47, Fs=-0.2416, reward=-95.730
[t=24000.0s] a=7615.76, goal=7905.47, Fs=-1.0000, reward=-102.971
[t=36000.0s] a=7640.97, goal=7905.47, Fs=0.4098, reward=-53.450
[t=48000.0s] a=7653.40, goal=7905.47, Fs=0.6434, reward=-62.207
[t=60000.0s] a=7668.68, goal=7905.47, Fs=1.0000, reward=-70.679
[t=72000.0s] a=7687.73, goal=7905.47, Fs=0.1365, reward=-78.774
[t=84000.0s] a=7707.15, goal=7905.47, Fs=-1.0000, reward=-93.832
[t=96000.0s] a=7730.01, goal=7905.47, Fs=0.5120, reward=-94.546
[t=108000.0s] a=7737.63, goal=7905.47, Fs=-0.0244, reward=-110.784
[t=120000.0s] a=7744.59, goal=7905.47, Fs=1.0000, reward=-113.088
[t=132000.0s] a=7737.12, goal=7905.47, Fs=-0.5252, reward=-130.835
[t=144000.0s] a=7751.14, goal=7905.47, Fs=0.8322, reward=-132.433
[t=156000.0s] a=7757.96, goal=7905.47, Fs=-0.4054, reward=-148.751
[t=168000.0s] a=7779.04, goal=7905.47, Fs=1.0000, reward=-149.643
[t=180000.0s] a=7772.07, goal=7905.47, Fs=0.7205, reward=-160.340
[t=192000.0s] a=7778.29, goal=7905.47, Fs=0.5731, reward=-169.718
[t=204000.0s] a=7790.46, goal=7905.47, Fs=0.6931, reward=-178.501
[t=216000.0s] a=7800.75, goal=7905.47, Fs=-0.1168, reward=-194.472
[t=228000.0s] a=7814.72, goal=7905.47, Fs=-0.7104, reward=-203.075
[t=240000.0s] a=7813.79, goal=7905.47, Fs=-1.0000, reward=-213.168
[t=252000.0s] a=7818.61, goal=7905.47, Fs=-0.4603, reward=-222.686
[t=264000.0s] a=7825.06, goal=7905.47, Fs=1.0000, reward=-225.041
[t=276000.0s] a=7819.57, goal=7905.47, Fs=0.0258, reward=-235.590
[t=288000.0s] a=7819.84, goal=7905.47, Fs=-1.0000, reward=-252.563
[t=300000.0s] a=7832.56, goal=7905.47, Fs=-0.0952, reward=-261.291
[t=312000.0s] a=7839.82, goal=7905.47, Fs=1.0000, reward=-263.565
[t=324000.0s] a=7844.74, goal=7905.47, Fs=-1.0000, reward=-280.073
[t=336000.0s] a=7846.12, goal=7905.47, Fs=-0.9668, reward=-289.935
[t=348000.0s] a=7836.33, goal=7905.47, Fs=1.0000, reward=-293.914
[t=360000.0s] a=7837.16, goal=7905.47, Fs=0.6726, reward=-303.831
[t=372000.0s] a=7835.77, goal=7905.47, Fs=0.4165, reward=-313.970
[t=384000.0s] a=7829.68, goal=7905.47, Fs=1.0000, reward=-324.579
[t=396000.0s] a=7836.44, goal=7905.47, Fs=-0.6644, reward=-340.903
[t=408000.0s] a=7841.82, goal=7905.47, Fs=1.0000, reward=-343.365
[t=420000.0s] a=7841.05, goal=7905.47, Fs=-1.0000, reward=-360.442
[t=432000.0s] a=7837.67, goal=7905.47, Fs=0.4213, reward=-363.780
[t=444000.0s] a=7849.21, goal=7905.47, Fs=-0.2742, reward=-379.626
[t=456000.0s] a=7849.20, goal=7905.47, Fs=0.7756, reward=-382.627
[t=468000.0s] a=7850.77, goal=7905.47, Fs=1.0000, reward=-392.470
[t=480000.0s] a=7859.78, goal=7905.47, Fs=1.0000, reward=-401.569
[t=492000.0s] a=7867.19, goal=7905.47, Fs=0.2792, reward=-410.828
[t=504000.0s] a=7869.76, goal=7905.47, Fs=0.8520, reward=-420.571
[t=516000.0s] a=7881.07, goal=7905.47, Fs=-1.0000, reward=-436.441
[t=528000.0s] a=7887.53, goal=7905.47, Fs=0.5003, reward=-438.794
[t=540000.0s] a=7875.21, goal=7905.47, Fs=1.0000, reward=-450.026
[t=552000.0s] a=7883.25, goal=7905.47, Fs=-0.7785, reward=-466.222
[t=564000.0s] a=7864.85, goal=7905.47, Fs=1.0000, reward=-471.062
[t=576000.0s] a=7855.44, goal=7905.47, Fs=0.2485, reward=-482.003
[t=588000.0s] a=7840.17, goal=7905.47, Fs=-0.3799, reward=-500.530
[t=600000.0s] a=7841.11, goal=7905.47, Fs=-1.0000, reward=-510.436
[t=612000.0s] a=7841.50, goal=7905.47, Fs=-0.9581, reward=-520.397
[t=624000.0s] a=7830.62, goal=7905.47, Fs=-1.0000, reward=-531.485
[t=636000.0s] a=7836.36, goal=7905.47, Fs=-0.4066, reward=-540.911
[t=648000.0s] a=7832.42, goal=7905.47, Fs=0.5115, reward=-544.305
[t=660000.0s] a=7827.12, goal=7905.47, Fs=-0.3164, reward=-561.835
[t=672000.0s] a=7820.51, goal=7905.47, Fs=-0.9852, reward=-572.496
[t=684000.0s] a=7830.84, goal=7905.47, Fs=0.9344, reward=-574.463
[t=696000.0s] a=7836.67, goal=7905.47, Fs=0.6080, reward=-583.880
[t=708000.0s] a=7841.18, goal=7905.47, Fs=0.2042, reward=-593.429
[t=720000.0s] a=7838.45, goal=7905.47, Fs=0.1245, reward=-603.702
[t=732000.0s] a=7849.65, goal=7905.47, Fs=-1.0000, reward=-619.582
[t=744000.0s] a=7841.92, goal=7905.47, Fs=-1.0000, reward=-630.355
[t=756000.0s] a=7833.67, goal=7905.47, Fs=-0.3473, reward=-641.180
[t=768000.0s] a=7843.76, goal=7905.47, Fs=0.6849, reward=-643.171
[t=780000.0s] a=7840.04, goal=7905.47, Fs=0.8388, reward=-653.543
[t=792000.0s] a=7831.79, goal=7905.47, Fs=0.6272, reward=-664.368
[t=804000.0s] a=7836.23, goal=7905.47, Fs=0.3169, reward=-673.924
[t=816000.0s] a=7842.00, goal=7905.47, Fs=0.3426, reward=-683.347
[t=828000.0s] a=7842.26, goal=7905.47, Fs=0.8676, reward=-693.321
[t=840000.0s] a=7837.78, goal=7905.47, Fs=-1.0000, reward=-710.769
[t=852000.0s] a=7846.70, goal=7905.47, Fs=-0.8367, reward=-719.877
[t=864000.0s] a=7850.60, goal=7905.47, Fs=0.0174, reward=-722.487
 FAILURE #1 of #2 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8282.90, goal=8091.54, Fs=-1.0000, reward=-26.136
[t=24000.0s] a=8255.07, goal=8091.54, Fs=-0.3390, reward=-33.353
[t=36000.0s] a=8212.36, goal=8091.54, Fs=-0.2635, reward=-39.082
[t=48000.0s] a=8205.42, goal=8091.54, Fs=-0.4995, reward=-48.388
[t=60000.0s] a=8186.74, goal=8091.54, Fs=-1.0000, reward=-56.521
[t=72000.0s] a=8164.55, goal=8091.54, Fs=0.7591, reward=-71.301
[t=84000.0s] a=8146.40, goal=8091.54, Fs=0.1321, reward=-79.486
[t=96000.0s] a=8147.11, goal=8091.54, Fs=-1.0000, reward=-82.557
[t=108000.0s] a=8128.48, goal=8091.54, Fs=0.6925, reward=-97.694
[t=120000.0s] a=8123.17, goal=8091.54, Fs=1.0000, reward=-107.163
[t=132000.0s] a=8106.25, goal=8091.54, Fs=-1.0000, reward=-108.471
 SUCCESS #2 of #3 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7695.43, goal=7937.20, Fs=-0.0096, reward=-88.177
[t=24000.0s] a=7718.80, goal=7937.20, Fs=0.9294, reward=-38.840
[t=36000.0s] a=7742.54, goal=7937.20, Fs=-1.0000, reward=-53.465
[t=48000.0s] a=7753.40, goal=7937.20, Fs=1.0000, reward=-55.380
[t=60000.0s] a=7773.26, goal=7937.20, Fs=-0.4782, reward=-70.394
[t=72000.0s] a=7793.17, goal=7937.20, Fs=0.3455, reward=-71.402
[t=84000.0s] a=7796.24, goal=7937.20, Fs=1.0000, reward=-81.096
[t=96000.0s] a=7810.47, goal=7937.20, Fs=0.3400, reward=-89.673
