
 ------------------------------------------------- 
[t=12000.0s] a=8413.25, goal=8093.91, Fs=-0.3117, reward=-42.051
[t=24000.0s] a=8426.64, goal=8093.91, Fs=0.5713, reward=-112.986
[t=36000.0s] a=8421.33, goal=8093.91, Fs=0.3991, reward=-120.733
[t=48000.0s] a=8401.82, goal=8093.91, Fs=-1.0000, reward=-77.791
[t=60000.0s] a=8383.08, goal=8093.91, Fs=-0.1835, reward=-77.752
[t=72000.0s] a=8362.42, goal=8093.91, Fs=-0.3773, reward=-87.624
[t=84000.0s] a=8332.26, goal=8093.91, Fs=0.3494, reward=-151.328
[t=96000.0s] a=8303.66, goal=8093.91, Fs=0.1701, reward=-156.676
[t=108000.0s] a=8288.20, goal=8093.91, Fs=0.3380, reward=-116.809
[t=120000.0s] a=8269.88, goal=8093.91, Fs=-1.0000, reward=-124.596
[t=132000.0s] a=8239.66, goal=8093.91, Fs=-0.1729, reward=-123.304
[t=144000.0s] a=8203.28, goal=8093.91, Fs=-0.3186, reward=-131.123
[t=156000.0s] a=8165.04, goal=8093.91, Fs=-1.0000, reward=-144.113
[t=168000.0s] a=8123.36, goal=8093.91, Fs=0.1642, reward=-148.587
[t=180000.0s] a=8097.77, goal=8093.91, Fs=-0.0553, reward=-134.938
 SUCCESS #1 of #1 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7538.64, goal=7815.64, Fs=0.0728, reward=-35.427
[t=24000.0s] a=7523.28, goal=7815.64, Fs=1.0000, reward=-56.236
[t=36000.0s] a=7504.06, goal=7815.64, Fs=-0.1892, reward=-117.050
[t=48000.0s] a=7484.48, goal=7815.64, Fs=0.3025, reward=-73.141
[t=60000.0s] a=7474.45, goal=7815.64, Fs=-0.1184, reward=-139.303
[t=72000.0s] a=7458.44, goal=7815.64, Fs=0.7882, reward=-100.602
[t=84000.0s] a=7445.12, goal=7815.64, Fs=1.0000, reward=-114.052
[t=96000.0s] a=7434.86, goal=7815.64, Fs=1.0000, reward=-125.078
[t=108000.0s] a=7418.38, goal=7815.64, Fs=-0.2258, reward=-185.984
[t=120000.0s] a=7400.46, goal=7815.64, Fs=-0.9080, reward=-204.598
[t=132000.0s] a=7397.02, goal=7815.64, Fs=-0.4095, reward=-209.957
[t=144000.0s] a=7387.34, goal=7815.64, Fs=0.3230, reward=-163.059
[t=156000.0s] a=7376.63, goal=7815.64, Fs=-1.0000, reward=-237.901
[t=168000.0s] a=7362.41, goal=7815.64, Fs=-0.3856, reward=-243.179
[t=180000.0s] a=7352.04, goal=7815.64, Fs=-1.0000, reward=-260.360
[t=192000.0s] a=7344.50, goal=7815.64, Fs=1.0000, reward=-214.114
[t=204000.0s] a=7345.52, goal=7815.64, Fs=-0.2379, reward=-273.390
[t=216000.0s] a=7338.11, goal=7815.64, Fs=-1.0000, reward=-291.753
[t=228000.0s] a=7334.69, goal=7815.64, Fs=-1.0000, reward=-302.095
[t=240000.0s] a=7338.27, goal=7815.64, Fs=0.9052, reward=-253.789
[t=252000.0s] a=7344.39, goal=7815.64, Fs=0.9639, reward=-263.764
[t=264000.0s] a=7342.73, goal=7815.64, Fs=-0.0246, reward=-321.537
[t=276000.0s] a=7343.03, goal=7815.64, Fs=-0.1439, reward=-332.699
[t=288000.0s] a=7347.00, goal=7815.64, Fs=1.0000, reward=-293.864
[t=300000.0s] a=7337.08, goal=7815.64, Fs=-1.0000, reward=-361.856
[t=312000.0s] a=7336.25, goal=7815.64, Fs=0.2317, reward=-307.256
[t=324000.0s] a=7338.07, goal=7815.64, Fs=1.0000, reward=-324.757
[t=336000.0s] a=7335.88, goal=7815.64, Fs=-1.0000, reward=-391.975
[t=348000.0s] a=7345.80, goal=7815.64, Fs=-1.0000, reward=-400.984
[t=360000.0s] a=7345.75, goal=7815.64, Fs=1.0000, reward=-353.989
[t=372000.0s] a=7345.79, goal=7815.64, Fs=-0.3498, reward=-414.483
[t=384000.0s] a=7346.30, goal=7815.64, Fs=0.9282, reward=-373.216
[t=396000.0s] a=7356.53, goal=7815.64, Fs=1.0000, reward=-382.910
[t=408000.0s] a=7372.46, goal=7815.64, Fs=-0.4214, reward=-442.532
[t=420000.0s] a=7377.98, goal=7815.64, Fs=1.0000, reward=-400.766
[t=432000.0s] a=7381.78, goal=7815.64, Fs=1.0000, reward=-410.386
[t=444000.0s] a=7383.12, goal=7815.64, Fs=-0.6235, reward=-473.487
[t=456000.0s] a=7392.92, goal=7815.64, Fs=-1.0000, reward=-486.272
[t=468000.0s] a=7401.65, goal=7815.64, Fs=-1.0000, reward=-495.399
[t=480000.0s] a=7406.40, goal=7815.64, Fs=-0.5760, reward=-500.685
[t=492000.0s] a=7417.36, goal=7815.64, Fs=1.0000, reward=-456.828
[t=504000.0s] a=7429.57, goal=7815.64, Fs=-0.5653, reward=-518.259
[t=516000.0s] a=7423.21, goal=7815.64, Fs=0.2772, reward=-469.015
[t=528000.0s] a=7433.15, goal=7815.64, Fs=-0.3603, reward=-535.851
[t=540000.0s] a=7430.79, goal=7815.64, Fs=0.0374, reward=-485.859
[t=552000.0s] a=7435.49, goal=7815.64, Fs=-1.0000, reward=-562.014
[t=564000.0s] a=7447.99, goal=7815.64, Fs=1.0000, reward=-513.765
[t=576000.0s] a=7452.28, goal=7815.64, Fs=1.0000, reward=-523.336
[t=588000.0s] a=7468.08, goal=7815.64, Fs=-0.6123, reward=-584.878
[t=600000.0s] a=7465.19, goal=7815.64, Fs=-0.1629, reward=-590.674
[t=612000.0s] a=7474.06, goal=7815.64, Fs=-1.0000, reward=-608.158
[t=624000.0s] a=7492.72, goal=7815.64, Fs=1.0000, reward=-559.291
[t=636000.0s] a=7512.17, goal=7815.64, Fs=0.5616, reward=-562.963
[t=648000.0s] a=7523.91, goal=7815.64, Fs=0.0964, reward=-567.137
[t=660000.0s] a=7545.29, goal=7815.64, Fs=1.0000, reward=-584.035
[t=672000.0s] a=7559.99, goal=7815.64, Fs=1.0000, reward=-592.565
[t=684000.0s] a=7565.10, goal=7815.64, Fs=-0.7757, reward=-656.811
[t=696000.0s] a=7577.40, goal=7815.64, Fs=0.9990, reward=-610.814
[t=708000.0s] a=7593.62, goal=7815.64, Fs=-1.0000, reward=-676.202
[t=720000.0s] a=7598.08, goal=7815.64, Fs=-0.6814, reward=-682.570
[t=732000.0s] a=7614.56, goal=7815.64, Fs=0.2355, reward=-629.462
[t=744000.0s] a=7625.83, goal=7815.64, Fs=0.2507, reward=-638.488
[t=756000.0s] a=7636.67, goal=7815.64, Fs=-0.7493, reward=-659.390
[t=768000.0s] a=7645.58, goal=7815.64, Fs=0.3051, reward=-657.056
[t=780000.0s] a=7666.36, goal=7815.64, Fs=1.0000, reward=-671.928
[t=792000.0s] a=7680.74, goal=7815.64, Fs=1.0000, reward=-680.490
[t=804000.0s] a=7688.07, goal=7815.64, Fs=0.3454, reward=-683.212
[t=816000.0s] a=7690.14, goal=7815.64, Fs=0.2564, reward=-692.114
[t=828000.0s] a=7702.88, goal=7815.64, Fs=-0.2284, reward=-707.560
[t=840000.0s] a=7714.45, goal=7815.64, Fs=-0.9863, reward=-723.982
[t=852000.0s] a=7712.71, goal=7815.64, Fs=-1.0000, reward=-734.293
[t=864000.0s] a=7722.53, goal=7815.64, Fs=0.6998, reward=-733.308
 FAILURE #1 of #2 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8405.12, goal=8152.69, Fs=0.3456, reward=-92.699
