
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=12000.0s] e=0.06, goal=0.20, Fr=-0.5137, Fs=0.1836, reward=-6.821
[t=24000.0s] e=0.06, goal=0.20, Fr=-1.0000, Fs=-0.0113, reward=-6.794
[t=36000.0s] e=0.06, goal=0.20, Fr=1.0000, Fs=-1.0000, reward=-6.808
[t=48000.0s] e=0.06, goal=0.20, Fr=-0.6748, Fs=0.3837, reward=-6.825
[t=60000.0s] e=0.06, goal=0.20, Fr=0.1893, Fs=-0.7497, reward=-6.822
[t=72000.0s] e=0.06, goal=0.20, Fr=0.0210, Fs=1.0000, reward=-6.848
[t=84000.0s] e=0.06, goal=0.20, Fr=0.6959, Fs=0.8448, reward=-6.840
[t=96000.0s] e=0.06, goal=0.20, Fr=-0.1103, Fs=0.4535, reward=-6.872
[t=108000.0s] e=0.06, goal=0.20, Fr=-0.7101, Fs=1.0000, reward=-6.839
[t=120000.0s] e=0.06, goal=0.20, Fr=-1.0000, Fs=0.4602, reward=-6.842
[t=132000.0s] e=0.06, goal=0.20, Fr=-1.0000, Fs=0.2162, reward=-6.844
[t=144000.0s] e=0.06, goal=0.20, Fr=-0.2462, Fs=-0.0124, reward=-6.851
[t=156000.0s] e=0.06, goal=0.20, Fr=-0.8589, Fs=0.7704, reward=-6.886
[t=168000.0s] e=0.06, goal=0.20, Fr=-0.4928, Fs=0.5689, reward=-6.897
[t=180000.0s] e=0.06, goal=0.20, Fr=0.4599, Fs=0.9467, reward=-6.965
[t=192000.0s] e=0.06, goal=0.20, Fr=-1.0000, Fs=-0.7014, reward=-6.916
[t=204000.0s] e=0.06, goal=0.20, Fr=0.6817, Fs=-0.5792, reward=-6.925
[t=216000.0s] e=0.06, goal=0.20, Fr=-0.3051, Fs=-1.0000, reward=-6.915
[t=228000.0s] e=0.06, goal=0.20, Fr=-0.2617, Fs=-0.6227, reward=-6.895
[t=240000.0s] e=0.06, goal=0.20, Fr=0.6192, Fs=-0.8002, reward=-6.842
[t=252000.0s] e=0.06, goal=0.20, Fr=-1.0000, Fs=0.4008, reward=-6.874
[t=264000.0s] e=0.06, goal=0.20, Fr=-1.0000, Fs=-0.8121, reward=-6.863
[t=276000.0s] e=0.06, goal=0.20, Fr=1.0000, Fs=1.0000, reward=-6.859
[t=288000.0s] e=0.06, goal=0.20, Fr=-0.1494, Fs=-0.6002, reward=-6.859
[t=300000.0s] e=0.06, goal=0.20, Fr=0.2494, Fs=-1.0000, reward=-6.853
[t=312000.0s] e=0.06, goal=0.20, Fr=1.0000, Fs=-0.7063, reward=-6.871
[t=324000.0s] e=0.06, goal=0.20, Fr=0.6312, Fs=0.6671, reward=-6.822
[t=336000.0s] e=0.06, goal=0.20, Fr=1.0000, Fs=-1.0000, reward=-6.787
[t=348000.0s] e=0.06, goal=0.20, Fr=1.0000, Fs=-0.7496, reward=-6.800
[t=360000.0s] e=0.07, goal=0.20, Fr=1.0000, Fs=0.1190, reward=-6.737
