
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=12000.0s] a=7503, e=0.0503, goal_e=0.2000, Fr=1.0000, Fs=-1.0000, reward=489.022
[t=24000.0s] a=7508, e=0.0504, goal_e=0.2000, Fr=0.4575, Fs=-0.1450, reward=493.321
[t=36000.0s] a=7503, e=0.0514, goal_e=0.2000, Fr=0.5226, Fs=1.0000, reward=489.279
[t=48000.0s] a=7505, e=0.0518, goal_e=0.2000, Fr=-1.0000, Fs=0.4421, reward=487.687
[t=60000.0s] a=7490, e=0.0513, goal_e=0.2000, Fr=-0.2208, Fs=1.0000, reward=489.218
[t=72000.0s] a=7484, e=0.0513, goal_e=0.2000, Fr=0.0619, Fs=0.6084, reward=475.512
[t=84000.0s] a=7485, e=0.0511, goal_e=0.2000, Fr=-0.5737, Fs=-0.4402, reward=478.670
[t=96000.0s] a=7494, e=0.0506, goal_e=0.2000, Fr=-1.0000, Fs=0.6785, reward=500.917
[t=108000.0s] a=7487, e=0.0515, goal_e=0.2000, Fr=1.0000, Fs=-0.4158, reward=482.361
[t=120000.0s] a=7478, e=0.0517, goal_e=0.2000, Fr=1.0000, Fs=0.3412, reward=454.016
[t=132000.0s] a=7473, e=0.0508, goal_e=0.2000, Fr=-0.8430, Fs=0.4231, reward=432.481
[t=144000.0s] a=7484, e=0.0500, goal_e=0.2000, Fr=-0.3409, Fs=1.0000, reward=474.936
[t=156000.0s] a=7495, e=0.0493, goal_e=0.2000, Fr=-1.0000, Fs=-1.0000, reward=487.048
[t=168000.0s] a=7496, e=0.0491, goal_e=0.2000, Fr=-0.3016, Fs=0.7881, reward=503.521
[t=180000.0s] a=7502, e=0.0483, goal_e=0.2000, Fr=1.0000, Fs=-0.0140, reward=499.680
[t=192000.0s] a=7496, e=0.0490, goal_e=0.2000, Fr=0.1245, Fs=-0.1433, reward=498.232
[t=204000.0s] a=7497, e=0.0485, goal_e=0.2000, Fr=1.0000, Fs=-0.1902, reward=499.240
[t=216000.0s] a=7504, e=0.0483, goal_e=0.2000, Fr=0.8079, Fs=0.4320, reward=498.315
[t=228000.0s] a=7502, e=0.0467, goal_e=0.2000, Fr=-0.1849, Fs=-0.7022, reward=499.716
[t=240000.0s] a=7494, e=0.0470, goal_e=0.2000, Fr=-0.4280, Fs=-0.4573, reward=496.881
[t=252000.0s] a=7491, e=0.0470, goal_e=0.2000, Fr=-0.9140, Fs=-1.0000, reward=482.714
[t=264000.0s] a=7492, e=0.0470, goal_e=0.2000, Fr=-0.4228, Fs=-1.0000, reward=493.324
[t=276000.0s] a=7503, e=0.0468, goal_e=0.2000, Fr=-0.2592, Fs=0.9381, reward=499.283
[t=288000.0s] a=7523, e=0.0470, goal_e=0.2000, Fr=-1.0000, Fs=0.0488, reward=450.920
[t=300000.0s] a=7524, e=0.0471, goal_e=0.2000, Fr=0.4068, Fs=-0.9770, reward=450.601
[t=312000.0s] a=7511, e=0.0472, goal_e=0.2000, Fr=0.0826, Fs=1.0000, reward=487.156
[t=324000.0s] a=7529, e=0.0466, goal_e=0.2000, Fr=0.3446, Fs=-0.6890, reward=423.762
[t=336000.0s] a=7538, e=0.0450, goal_e=0.2000, Fr=-0.3593, Fs=1.0000, reward=382.204
[t=348000.0s] a=7542, e=0.0446, goal_e=0.2000, Fr=0.7518, Fs=-1.0000, reward=344.154
[t=360000.0s] a=7539, e=0.0451, goal_e=0.2000, Fr=1.0000, Fs=-1.0000, reward=370.057
[t=372000.0s] a=7543, e=0.0458, goal_e=0.2000, Fr=-1.0000, Fs=-0.5583, reward=348.292
[t=384000.0s] a=7552, e=0.0463, goal_e=0.2000, Fr=1.0000, Fs=0.3903, reward=288.781
[t=396000.0s] a=7553, e=0.0457, goal_e=0.2000, Fr=-1.0000, Fs=-0.6111, reward=275.056
[t=408000.0s] a=7558, e=0.0454, goal_e=0.2000, Fr=-1.0000, Fs=-0.2460, reward=255.402
[t=420000.0s] a=7559, e=0.0453, goal_e=0.2000, Fr=-1.0000, Fs=0.6840, reward=251.674
[t=432000.0s] a=7569, e=0.0466, goal_e=0.2000, Fr=-1.0000, Fs=-1.0000, reward=196.892
[t=444000.0s] a=7567, e=0.0470, goal_e=0.2000, Fr=0.5104, Fs=0.0581, reward=202.963
[t=456000.0s] a=7571, e=0.0459, goal_e=0.2000, Fr=-1.0000, Fs=0.2667, reward=180.216
[t=468000.0s] a=7573, e=0.0452, goal_e=0.2000, Fr=-0.9784, Fs=-0.7942, reward=163.766
[t=480000.0s] a=7579, e=0.0453, goal_e=0.2000, Fr=-0.8941, Fs=0.9853, reward=146.923
[t=492000.0s] a=7577, e=0.0453, goal_e=0.2000, Fr=0.0754, Fs=-0.5372, reward=150.333
[t=504000.0s] a=7584, e=0.0451, goal_e=0.2000, Fr=-1.0000, Fs=1.0000, reward=123.387
[t=516000.0s] a=7606, e=0.0465, goal_e=0.2000, Fr=-0.2716, Fs=-1.0000, reward=57.876
[t=528000.0s] a=7618, e=0.0462, goal_e=0.2000, Fr=0.8130, Fs=-0.0144, reward=31.023
[t=540000.0s] a=7624, e=0.0473, goal_e=0.2000, Fr=0.7158, Fs=1.0000, reward=28.044
[t=552000.0s] a=7638, e=0.0471, goal_e=0.2000, Fr=-0.9002, Fs=-1.0000, reward=11.060
[t=564000.0s] a=7650, e=0.0475, goal_e=0.2000, Fr=-0.2945, Fs=1.0000, reward=5.387
[t=576000.0s] a=7649, e=0.0474, goal_e=0.2000, Fr=0.9757, Fs=1.0000, reward=-4.022
[t=588000.0s] a=7654, e=0.0481, goal_e=0.2000, Fr=-1.0000, Fs=0.2359, reward=4.286
[t=600000.0s] a=7667, e=0.0492, goal_e=0.2000, Fr=-1.0000, Fs=0.3442, reward=1.761
[t=612000.0s] a=7680, e=0.0492, goal_e=0.2000, Fr=-0.2699, Fs=-0.3459, reward=0.661
[t=624000.0s] a=7681, e=0.0493, goal_e=0.2000, Fr=-0.0928, Fs=-0.5636, reward=0.594
[t=636000.0s] a=7683, e=0.0492, goal_e=0.2000, Fr=-1.0000, Fs=-1.0000, reward=5.532
[t=648000.0s] a=7687, e=0.0495, goal_e=0.2000, Fr=-0.2251, Fs=0.8335, reward=0.345
[t=660000.0s] a=7685, e=0.0493, goal_e=0.2000, Fr=0.6703, Fs=1.0000, reward=5.439
[t=672000.0s] a=7687, e=0.0497, goal_e=0.2000, Fr=0.3954, Fs=0.4678, reward=0.334
[t=684000.0s] a=7682, e=0.0501, goal_e=0.2000, Fr=0.3922, Fs=-0.6299, reward=0.556
[t=696000.0s] a=7684, e=0.0493, goal_e=0.2000, Fr=0.3805, Fs=-0.6141, reward=5.454
[t=708000.0s] a=7694, e=0.0507, goal_e=0.2000, Fr=-0.0016, Fs=0.4541, reward=0.156
[t=720000.0s] a=7688, e=0.0504, goal_e=0.2000, Fr=-0.7101, Fs=-1.0000, reward=-9.683
[t=732000.0s] a=7688, e=0.0500, goal_e=0.2000, Fr=-0.5129, Fs=1.0000, reward=0.318
[t=744000.0s] a=7695, e=0.0513, goal_e=0.2000, Fr=-1.0000, Fs=-0.2365, reward=0.128
[t=756000.0s] a=7709, e=0.0511, goal_e=0.2000, Fr=-0.1896, Fs=-0.7621, reward=-0.049
[t=768000.0s] a=7724, e=0.0519, goal_e=0.2000, Fr=-0.0680, Fs=-0.4759, reward=-0.105
[t=780000.0s] a=7737, e=0.0527, goal_e=0.2000, Fr=1.0000, Fs=-1.0000, reward=-10.123
[t=792000.0s] a=7733, e=0.0531, goal_e=0.2000, Fr=0.5372, Fs=1.0000, reward=-10.122
[t=804000.0s] a=7754, e=0.0533, goal_e=0.2000, Fr=-0.7627, Fs=1.0000, reward=-10.133
[t=816000.0s] a=7765, e=0.0532, goal_e=0.2000, Fr=-1.0000, Fs=-0.0061, reward=-0.136
[t=828000.0s] a=7786, e=0.0519, goal_e=0.2000, Fr=-1.0000, Fs=-0.9366, reward=-10.138
[t=840000.0s] a=7801, e=0.0527, goal_e=0.2000, Fr=0.3303, Fs=-1.0000, reward=-0.140
[t=852000.0s] a=7821, e=0.0526, goal_e=0.2000, Fr=-0.3009, Fs=1.0000, reward=-10.142
[t=864000.0s] a=7831, e=0.0530, goal_e=0.2000, Fr=-1.0000, Fs=-0.1818, reward=-1008.730
 FAILURE #4 of #4 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7508, e=0.1107, goal_e=0.0000, Fr=-0.3795, Fs=0.6970, reward=492.983
[t=24000.0s] a=7506, e=0.1107, goal_e=0.0000, Fr=1.0000, Fs=0.5217, reward=501.634
[t=36000.0s] a=7523, e=0.1116, goal_e=0.0000, Fr=-1.0000, Fs=1.0000, reward=454.852
