
 ------------------------------------------------- 
[t=12000.0s] a=8494, e=0.0707, goal_e=0.1522, Fr=-0.6942, Fs=1.0000, reward=50.471
[t=24000.0s] a=8490, e=0.0573, goal_e=0.1522, Fr=-0.4514, Fs=-0.9861, reward=11.996
[t=36000.0s] a=8504, e=0.0437, goal_e=0.1522, Fr=1.0000, Fs=0.8134, reward=-4.668
[t=48000.0s] a=8481, e=0.0303, goal_e=0.1522, Fr=-1.0000, Fs=-0.5941, reward=-82.573
[t=60000.0s] a=8511, e=0.0169, goal_e=0.1522, Fr=1.0000, Fs=0.1670, reward=-58.249
[t=72000.0s] a=8485, e=0.0035, goal_e=0.1522, Fr=-1.0000, Fs=0.8309, reward=-119.840
[t=84000.0s] a=8501, e=0.0000, goal_e=0.1522, Fr=0.1065, Fs=0.4242, reward=261.305
[t=96000.0s] a=8502, e=0.0001, goal_e=0.1522, Fr=-0.0424, Fs=0.1954, reward=-70.231
[t=108000.0s] a=8505, e=0.0000, goal_e=0.1522, Fr=-0.0393, Fs=0.1712, reward=-73.338
[t=120000.0s] a=8507, e=0.0000, goal_e=0.1522, Fr=-0.0637, Fs=0.1214, reward=-77.585
[t=132000.0s] a=8510, e=0.0000, goal_e=0.1522, Fr=0.8867, Fs=-1.0000, reward=242.106
[t=144000.0s] a=8512, e=0.0001, goal_e=0.1522, Fr=-0.0811, Fs=-0.2399, reward=241.581
[t=156000.0s] a=8514, e=0.0000, goal_e=0.1522, Fr=-0.0133, Fs=0.1471, reward=-98.946
[t=168000.0s] a=8515, e=0.0001, goal_e=0.1522, Fr=-0.0909, Fs=-0.3064, reward=227.238
[t=180000.0s] a=8517, e=0.0000, goal_e=0.1522, Fr=0.1303, Fs=0.2268, reward=-131.103
[t=192000.0s] a=8519, e=0.0000, goal_e=0.1522, Fr=0.3633, Fs=0.4948, reward=-139.768
[t=204000.0s] a=8520, e=0.0000, goal_e=0.1522, Fr=1.0000, Fs=0.2008, reward=203.851
[t=216000.0s] a=8521, e=0.0000, goal_e=0.1522, Fr=-0.0212, Fs=0.0824, reward=-149.382
[t=228000.0s] a=8521, e=0.0001, goal_e=0.1522, Fr=0.3935, Fs=0.4082, reward=-152.856
[t=240000.0s] a=8522, e=0.0000, goal_e=0.1522, Fr=0.0208, Fs=0.1378, reward=-155.824
[t=252000.0s] a=8524, e=0.0000, goal_e=0.1522, Fr=-0.1057, Fs=-0.0915, reward=-10.844
