
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=12000.0s] a=8492, e=0.0938, goal_e=0.0119, Fr=-1.0000, Fs=-0.3090, reward=-253.458
[t=24000.0s] a=8501, e=0.0930, goal_e=0.0119, Fr=0.1283, Fs=0.3446, reward=-239.320
[t=36000.0s] a=8502, e=0.0924, goal_e=0.0119, Fr=0.3065, Fs=0.1494, reward=-18.362
[t=48000.0s] a=8510, e=0.0924, goal_e=0.0119, Fr=-1.0000, Fs=-0.9391, reward=-56.474
[t=60000.0s] a=8521, e=0.0918, goal_e=0.0119, Fr=0.2045, Fs=-0.0908, reward=-296.334
[t=72000.0s] a=8521, e=0.0913, goal_e=0.0119, Fr=-1.0000, Fs=-0.5270, reward=-98.141
[t=84000.0s] a=8515, e=0.0916, goal_e=0.0119, Fr=1.0000, Fs=-0.6320, reward=-73.855
[t=96000.0s] a=8524, e=0.0918, goal_e=0.0119, Fr=-0.7114, Fs=0.1309, reward=-112.671
[t=108000.0s] a=8524, e=0.0919, goal_e=0.0119, Fr=-0.9521, Fs=0.3272, reward=-314.846
[t=120000.0s] a=8523, e=0.0918, goal_e=0.0119, Fr=0.0326, Fs=1.0000, reward=-110.075
[t=132000.0s] a=8524, e=0.0934, goal_e=0.0119, Fr=0.1131, Fs=1.0000, reward=-319.142
[t=144000.0s] a=8514, e=0.0931, goal_e=0.0119, Fr=0.8029, Fs=-1.0000, reward=-273.131
[t=156000.0s] a=8524, e=0.0934, goal_e=0.0119, Fr=0.0089, Fs=1.0000, reward=-318.597
[t=168000.0s] a=8518, e=0.0931, goal_e=0.0119, Fr=-1.0000, Fs=-0.4989, reward=-286.470
[t=180000.0s] a=8524, e=0.0940, goal_e=0.0119, Fr=-0.2196, Fs=-1.0000, reward=-117.959
[t=192000.0s] a=8509, e=0.0943, goal_e=0.0119, Fr=-0.5198, Fs=-0.2152, reward=-256.244
[t=204000.0s] a=8511, e=0.0939, goal_e=0.0119, Fr=0.0252, Fs=1.0000, reward=-262.824
[t=216000.0s] a=8522, e=0.0925, goal_e=0.0119, Fr=-1.0000, Fs=1.0000, reward=-104.269
[t=228000.0s] a=8526, e=0.0925, goal_e=0.0119, Fr=-0.3365, Fs=0.6087, reward=-324.909
[t=240000.0s] a=8516, e=0.0915, goal_e=0.0119, Fr=-1.0000, Fs=1.0000, reward=-74.548
[t=252000.0s] a=8518, e=0.0913, goal_e=0.0119, Fr=0.2344, Fs=0.4043, reward=-283.519
[t=264000.0s] a=8517, e=0.0903, goal_e=0.0119, Fr=-0.4342, Fs=-1.0000, reward=-276.332
[t=276000.0s] a=8512, e=0.0896, goal_e=0.0119, Fr=-1.0000, Fs=-0.8733, reward=-57.754
[t=288000.0s] a=8501, e=0.0893, goal_e=0.0119, Fr=1.0000, Fs=-0.7059, reward=-34.179
[t=300000.0s] a=8499, e=0.0895, goal_e=0.0119, Fr=0.9025, Fs=-0.4271, reward=-235.345
[t=312000.0s] a=8491, e=0.0894, goal_e=0.0119, Fr=1.0000, Fs=-0.5217, reward=-46.118
[t=324000.0s] a=8488, e=0.0891, goal_e=0.0119, Fr=0.8915, Fs=-1.0000, reward=-255.579
[t=336000.0s] a=8489, e=0.0890, goal_e=0.0119, Fr=-1.0000, Fs=-0.2634, reward=-51.083
[t=348000.0s] a=8486, e=0.0886, goal_e=0.0119, Fr=0.9417, Fs=-0.4166, reward=-261.047
[t=360000.0s] a=8482, e=0.0876, goal_e=0.0119, Fr=-0.1574, Fs=0.3212, reward=-272.060
