
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=12000.0s] a=8496, e=0.0277, goal_e=0.1642, Fr=0.0562, Fs=-1.0000, reward=-165.647
[t=24000.0s] a=8496, e=0.0279, goal_e=0.1642, Fr=0.3103, Fs=0.5552, reward=-163.080
[t=36000.0s] a=8511, e=0.0279, goal_e=0.1642, Fr=-1.0000, Fs=0.6447, reward=-382.121
[t=48000.0s] a=8509, e=0.0291, goal_e=0.1642, Fr=0.0002, Fs=-1.0000, reward=-372.846
[t=60000.0s] a=8512, e=0.0288, goal_e=0.1642, Fr=-0.5146, Fs=0.5632, reward=-379.926
[t=72000.0s] a=8516, e=0.0291, goal_e=0.1642, Fr=0.5603, Fs=-0.3817, reward=-195.629
[t=84000.0s] a=8515, e=0.0285, goal_e=0.1642, Fr=1.0000, Fs=-1.0000, reward=-396.167
[t=96000.0s] a=8496, e=0.0272, goal_e=0.1642, Fr=0.0588, Fs=0.0277, reward=-342.190
[t=108000.0s] a=8495, e=0.0272, goal_e=0.1642, Fr=0.1050, Fs=0.6363, reward=-165.822
[t=120000.0s] a=8481, e=0.0258, goal_e=0.1642, Fr=1.0000, Fs=1.0000, reward=-417.037
[t=132000.0s] a=8496, e=0.0265, goal_e=0.1642, Fr=1.0000, Fs=1.0000, reward=-167.944
[t=144000.0s] a=8500, e=0.0265, goal_e=0.1642, Fr=-1.0000, Fs=-1.0000, reward=-165.101
[t=156000.0s] a=8503, e=0.0262, goal_e=0.1642, Fr=1.0000, Fs=-0.3872, reward=-367.400
[t=168000.0s] a=8501, e=0.0262, goal_e=0.1642, Fr=-1.0000, Fs=-0.7232, reward=-166.085
[t=180000.0s] a=8498, e=0.0260, goal_e=0.1642, Fr=1.0000, Fs=-1.0000, reward=-367.596
[t=192000.0s] a=8503, e=0.0253, goal_e=0.1642, Fr=0.0098, Fs=0.3196, reward=-366.081
[t=204000.0s] a=8493, e=0.0258, goal_e=0.1642, Fr=-0.8536, Fs=0.1555, reward=-353.505
[t=216000.0s] a=8483, e=0.0252, goal_e=0.1642, Fr=-0.9998, Fs=1.0000, reward=-407.541
