
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=12000.0s] a=8496, e=0.2142, goal_e=0.1111, Fr=0.7792, Fs=1.0000, reward=309.659
[t=24000.0s] a=8495, e=0.2156, goal_e=0.1111, Fr=-0.0592, Fs=-0.7314, reward=308.779
[t=36000.0s] a=8488, e=0.2159, goal_e=0.1111, Fr=0.0068, Fs=-1.0000, reward=-14.628
[t=48000.0s] a=8483, e=0.2159, goal_e=0.1111, Fr=0.3747, Fs=-0.4017, reward=-33.980
[t=60000.0s] a=8486, e=0.2159, goal_e=0.1111, Fr=-1.0000, Fs=0.7451, reward=83.287
[t=72000.0s] a=8490, e=0.2167, goal_e=0.1111, Fr=-1.0000, Fs=-1.0000, reward=295.411
[t=84000.0s] a=8481, e=0.2174, goal_e=0.1111, Fr=0.6433, Fs=0.2926, reward=260.056
[t=96000.0s] a=8482, e=0.2166, goal_e=0.1111, Fr=0.5692, Fs=-0.0529, reward=-19.567
[t=108000.0s] a=8478, e=0.2165, goal_e=0.1111, Fr=0.0308, Fs=1.0000, reward=-58.658
[t=120000.0s] a=8480, e=0.2164, goal_e=0.1111, Fr=-1.0000, Fs=0.8786, reward=252.902
[t=132000.0s] a=8477, e=0.2172, goal_e=0.1111, Fr=0.4991, Fs=-0.4393, reward=239.442
[t=144000.0s] a=8476, e=0.2175, goal_e=0.1111, Fr=-1.0000, Fs=0.8428, reward=234.377
[t=156000.0s] a=8473, e=0.2175, goal_e=0.1111, Fr=-0.7954, Fs=0.2897, reward=-83.409
[t=168000.0s] a=8475, e=0.2182, goal_e=0.1111, Fr=-1.0000, Fs=0.8214, reward=226.800
[t=180000.0s] a=8472, e=0.2176, goal_e=0.1111, Fr=1.0000, Fs=1.0000, reward=-90.705
[t=192000.0s] a=8468, e=0.2175, goal_e=0.1111, Fr=-1.0000, Fs=1.0000, reward=196.441
[t=204000.0s] a=8461, e=0.2164, goal_e=0.1111, Fr=-0.7412, Fs=1.0000, reward=170.187
[t=216000.0s] a=8458, e=0.2173, goal_e=0.1111, Fr=0.9657, Fs=0.5964, reward=150.197
[t=228000.0s] a=8455, e=0.2170, goal_e=0.1111, Fr=1.0000, Fs=-0.8033, reward=-185.066
[t=240000.0s] a=8461, e=0.2175, goal_e=0.1111, Fr=-1.0000, Fs=0.4734, reward=-139.455
[t=252000.0s] a=8450, e=0.2175, goal_e=0.1111, Fr=-1.0000, Fs=-0.0928, reward=-113.053
[t=264000.0s] a=8464, e=0.2161, goal_e=0.1111, Fr=-0.1917, Fs=0.9993, reward=-124.627
[t=276000.0s] a=8462, e=0.2161, goal_e=0.1111, Fr=-1.0000, Fs=-0.2974, reward=-133.174
[t=288000.0s] a=8459, e=0.2175, goal_e=0.1111, Fr=0.1446, Fs=0.0441, reward=-148.522
[t=300000.0s] a=8463, e=0.2178, goal_e=0.1111, Fr=-1.0000, Fs=-0.5551, reward=-131.689
[t=312000.0s] a=8468, e=0.2160, goal_e=0.1111, Fr=-0.3055, Fs=-0.7642, reward=197.652
[t=324000.0s] a=8482, e=0.2158, goal_e=0.1111, Fr=0.2597, Fs=0.6561, reward=264.865
[t=336000.0s] a=8471, e=0.2139, goal_e=0.1111, Fr=-0.5246, Fs=-0.7003, reward=-85.684
[t=348000.0s] a=8466, e=0.2135, goal_e=0.1111, Fr=-0.2324, Fs=-0.2832, reward=-105.405
[t=360000.0s] a=8472, e=0.2131, goal_e=0.1111, Fr=0.7851, Fs=0.6024, reward=222.388
[t=372000.0s] a=8469, e=0.2124, goal_e=0.1111, Fr=-0.2680, Fs=-0.9259, reward=205.500
[t=384000.0s] a=8468, e=0.2135, goal_e=0.1111, Fr=0.9130, Fs=1.0000, reward=203.761
[t=396000.0s] a=8481, e=0.2134, goal_e=0.1111, Fr=-0.0527, Fs=1.0000, reward=-38.067
[t=408000.0s] a=8485, e=0.2129, goal_e=0.1111, Fr=-1.0000, Fs=-1.0000, reward=-22.796
[t=420000.0s] a=8487, e=0.2130, goal_e=0.1111, Fr=-0.6008, Fs=-0.3327, reward=291.278
[t=432000.0s] a=8499, e=0.2130, goal_e=0.1111, Fr=0.9202, Fs=-0.0544, reward=334.196
[t=444000.0s] a=8498, e=0.2124, goal_e=0.1111, Fr=-0.3271, Fs=-0.2580, reward=316.826
[t=456000.0s] a=8504, e=0.2111, goal_e=0.1111, Fr=0.2021, Fs=1.0000, reward=313.932
[t=468000.0s] a=8504, e=0.2124, goal_e=0.1111, Fr=-0.7840, Fs=0.7004, reward=311.812
