
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=12000.0s] a=8496, e=0.0754, goal_e=0.2079, Fr=-1.0000, Fs=-0.2554, reward=563.667
[t=24000.0s] a=8498, e=0.0749, goal_e=0.2079, Fr=-0.6621, Fs=-0.0572, reward=364.800
[t=36000.0s] a=8508, e=0.0747, goal_e=0.2079, Fr=1.0000, Fs=0.4205, reward=356.327
[t=48000.0s] a=8511, e=0.0746, goal_e=0.2079, Fr=-1.0000, Fs=0.2781, reward=352.471
[t=60000.0s] a=8508, e=0.0735, goal_e=0.2079, Fr=0.7806, Fs=-0.0963, reward=356.831
[t=72000.0s] a=8512, e=0.0732, goal_e=0.2079, Fr=-1.0000, Fs=-0.4006, reward=348.718
[t=84000.0s] a=8498, e=0.0737, goal_e=0.2079, Fr=0.3968, Fs=0.3559, reward=363.857
[t=96000.0s] a=8500, e=0.0735, goal_e=0.2079, Fr=0.0976, Fs=0.7839, reward=363.216
[t=108000.0s] a=8494, e=0.0741, goal_e=0.2079, Fr=-0.6428, Fs=-1.0000, reward=360.523
[t=120000.0s] a=8509, e=0.0742, goal_e=0.2079, Fr=1.0000, Fs=1.0000, reward=355.938
[t=132000.0s] a=8507, e=0.0743, goal_e=0.2079, Fr=-1.0000, Fs=-0.5417, reward=358.904
[t=144000.0s] a=8507, e=0.0738, goal_e=0.2079, Fr=-0.6384, Fs=-0.9094, reward=558.125
[t=156000.0s] a=8502, e=0.0738, goal_e=0.2079, Fr=0.3717, Fs=-1.0000, reward=361.393
[t=168000.0s] a=8498, e=0.0740, goal_e=0.2079, Fr=-0.2404, Fs=-1.0000, reward=563.133
[t=180000.0s] a=8495, e=0.0731, goal_e=0.2079, Fr=0.7378, Fs=0.2224, reward=560.415
[t=192000.0s] a=8495, e=0.0720, goal_e=0.2079, Fr=-0.9755, Fs=0.1298, reward=559.223
[t=204000.0s] a=8503, e=0.0716, goal_e=0.2079, Fr=-0.2766, Fs=-0.0567, reward=362.015
[t=216000.0s] a=8504, e=0.0709, goal_e=0.2079, Fr=1.0000, Fs=0.5453, reward=357.843
[t=228000.0s] a=8506, e=0.0717, goal_e=0.2079, Fr=-0.7942, Fs=1.0000, reward=357.165
[t=240000.0s] a=8515, e=0.0721, goal_e=0.2079, Fr=0.4959, Fs=-0.6196, reward=339.635
[t=252000.0s] a=8504, e=0.0717, goal_e=0.2079, Fr=-0.5395, Fs=0.7871, reward=359.241
[t=264000.0s] a=8502, e=0.0713, goal_e=0.2079, Fr=-1.0000, Fs=0.1408, reward=560.643
[t=276000.0s] a=8512, e=0.0730, goal_e=0.2079, Fr=-1.0000, Fs=1.0000, reward=348.071
[t=288000.0s] a=8508, e=0.0739, goal_e=0.2079, Fr=-0.1354, Fs=-0.9625, reward=356.607
[t=300000.0s] a=8498, e=0.0748, goal_e=0.2079, Fr=1.0000, Fs=-0.3446, reward=564.045
[t=312000.0s] a=8482, e=0.0766, goal_e=0.2079, Fr=0.6292, Fs=-0.6065, reward=335.145
[t=324000.0s] a=8470, e=0.0762, goal_e=0.2079, Fr=0.1244, Fs=0.1307, reward=282.887
[t=336000.0s] a=8464, e=0.0771, goal_e=0.2079, Fr=-1.0000, Fs=-1.0000, reward=252.778
[t=348000.0s] a=8448, e=0.0792, goal_e=0.2079, Fr=-0.8007, Fs=1.0000, reward=161.093
[t=360000.0s] a=8447, e=0.0800, goal_e=0.2079, Fr=0.4482, Fs=-0.6274, reward=156.494
[t=372000.0s] a=8444, e=0.0801, goal_e=0.2079, Fr=0.8426, Fs=1.0000, reward=133.913
[t=384000.0s] a=8441, e=0.0796, goal_e=0.2079, Fr=-0.0704, Fs=-1.0000, reward=315.433
[t=396000.0s] a=8435, e=0.0799, goal_e=0.2079, Fr=-0.8325, Fs=0.3132, reward=282.790
[t=408000.0s] a=8431, e=0.0801, goal_e=0.2079, Fr=0.5944, Fs=0.9596, reward=62.850
[t=420000.0s] a=8442, e=0.0817, goal_e=0.2079, Fr=-0.0921, Fs=1.0000, reward=328.423
[t=432000.0s] a=8460, e=0.0834, goal_e=0.2079, Fr=0.9537, Fs=0.9694, reward=235.924
[t=444000.0s] a=8456, e=0.0828, goal_e=0.2079, Fr=0.8208, Fs=1.0000, reward=409.625
[t=456000.0s] a=8464, e=0.0842, goal_e=0.2079, Fr=-0.4540, Fs=-0.6541, reward=462.434
