
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=12000.0s] a=8509, e=0.0919, goal_e=0.2452, Fr=1.0000, Fs=0.5413, reward=-410.145
[t=24000.0s] a=8516, e=0.0913, goal_e=0.2452, Fr=0.2281, Fs=0.7121, reward=-232.955
[t=36000.0s] a=8508, e=0.0915, goal_e=0.2452, Fr=-0.4114, Fs=-0.2033, reward=-204.806
[t=48000.0s] a=8514, e=0.0906, goal_e=0.2452, Fr=1.0000, Fs=-0.3207, reward=-228.506
[t=60000.0s] a=8522, e=0.0913, goal_e=0.2452, Fr=-0.3251, Fs=-1.0000, reward=-259.834
[t=72000.0s] a=8527, e=0.0905, goal_e=0.2452, Fr=-0.0904, Fs=1.0000, reward=-286.878
[t=84000.0s] a=8533, e=0.0895, goal_e=0.2452, Fr=-0.0268, Fs=-0.3946, reward=-312.665
[t=96000.0s] a=8538, e=0.0891, goal_e=0.2452, Fr=-0.2495, Fs=0.3354, reward=-535.825
[t=108000.0s] a=8526, e=0.0886, goal_e=0.2452, Fr=-1.0000, Fs=-0.4474, reward=-286.517
[t=120000.0s] a=8545, e=0.0888, goal_e=0.2452, Fr=-0.2955, Fs=0.9992, reward=-590.338
[t=132000.0s] a=8558, e=0.0879, goal_e=0.2452, Fr=-0.2907, Fs=-0.2104, reward=-679.916
[t=144000.0s] a=8561, e=0.0884, goal_e=0.2452, Fr=0.8748, Fs=-0.5562, reward=-497.607
[t=156000.0s] a=8557, e=0.0888, goal_e=0.2452, Fr=-0.9656, Fs=0.8602, reward=-474.516
[t=168000.0s] a=8555, e=0.0891, goal_e=0.2452, Fr=1.0000, Fs=0.5223, reward=-658.722
[t=180000.0s] a=8561, e=0.0881, goal_e=0.2452, Fr=0.0892, Fs=0.1733, reward=-495.276
[t=192000.0s] a=8562, e=0.0895, goal_e=0.2452, Fr=-0.4776, Fs=-0.3754, reward=-502.321
[t=204000.0s] a=8588, e=0.0907, goal_e=0.2452, Fr=-0.3029, Fs=-0.9040, reward=-838.630
[t=216000.0s] a=8589, e=0.0893, goal_e=0.2452, Fr=0.3404, Fs=0.2915, reward=-846.487
[t=228000.0s] a=8571, e=0.0899, goal_e=0.2452, Fr=1.0000, Fs=-0.3764, reward=-753.373
[t=240000.0s] a=8570, e=0.0902, goal_e=0.2452, Fr=0.5320, Fs=0.4090, reward=-744.707
[t=252000.0s] a=8556, e=0.0896, goal_e=0.2452, Fr=-1.0000, Fs=0.1657, reward=-664.501
[t=264000.0s] a=8542, e=0.0902, goal_e=0.2452, Fr=0.2755, Fs=0.9108, reward=-561.171
[t=276000.0s] a=8544, e=0.0896, goal_e=0.2452, Fr=0.4915, Fs=-0.1338, reward=-576.781
[t=288000.0s] a=8546, e=0.0895, goal_e=0.2452, Fr=-1.0000, Fs=-0.3963, reward=-397.807
[t=300000.0s] a=8545, e=0.0901, goal_e=0.2452, Fr=-1.0000, Fs=0.4401, reward=-584.250
[t=312000.0s] a=8547, e=0.0904, goal_e=0.2452, Fr=-0.9651, Fs=0.3468, reward=-404.592
[t=324000.0s] a=8547, e=0.0908, goal_e=0.2452, Fr=1.0000, Fs=1.0000, reward=-403.326
[t=336000.0s] a=8543, e=0.0915, goal_e=0.2452, Fr=0.5959, Fs=-0.1709, reward=-566.457
[t=348000.0s] a=8535, e=0.0922, goal_e=0.2452, Fr=1.0000, Fs=1.0000, reward=-320.737
[t=360000.0s] a=8530, e=0.0921, goal_e=0.2452, Fr=-0.3062, Fs=0.1528, reward=-294.451
[t=372000.0s] a=8519, e=0.0914, goal_e=0.2452, Fr=0.2572, Fs=-0.6415, reward=-247.978
[t=384000.0s] a=8525, e=0.0914, goal_e=0.2452, Fr=-0.8689, Fs=0.5070, reward=-276.871
[t=396000.0s] a=8525, e=0.0923, goal_e=0.2452, Fr=0.1143, Fs=-1.0000, reward=-274.930
[t=408000.0s] a=8526, e=0.0925, goal_e=0.2452, Fr=1.0000, Fs=0.0493, reward=-480.239
[t=420000.0s] a=8530, e=0.0937, goal_e=0.2452, Fr=0.6189, Fs=-0.1679, reward=-294.055
[t=432000.0s] a=8530, e=0.0942, goal_e=0.2452, Fr=-1.0000, Fs=1.0000, reward=-296.070
[t=444000.0s] a=8530, e=0.0934, goal_e=0.2452, Fr=0.7786, Fs=-0.4353, reward=-297.463
[t=456000.0s] a=8532, e=0.0947, goal_e=0.2452, Fr=1.0000, Fs=1.0000, reward=-304.264
[t=468000.0s] a=8537, e=0.0952, goal_e=0.2452, Fr=0.2573, Fs=0.4504, reward=-522.171
[t=480000.0s] a=8544, e=0.0954, goal_e=0.2452, Fr=1.0000, Fs=1.0000, reward=-371.081
[t=492000.0s] a=8546, e=0.0944, goal_e=0.2452, Fr=1.0000, Fs=-0.7846, reward=-381.997
[t=504000.0s] a=8549, e=0.0932, goal_e=0.2452, Fr=-1.0000, Fs=-1.0000, reward=-612.796
[t=516000.0s] a=8552, e=0.0928, goal_e=0.2452, Fr=-1.0000, Fs=0.0783, reward=-435.429
[t=528000.0s] a=8546, e=0.0932, goal_e=0.2452, Fr=-0.9293, Fs=-1.0000, reward=-590.896
[t=540000.0s] a=8532, e=0.0928, goal_e=0.2452, Fr=1.0000, Fs=0.7265, reward=-508.300
[t=552000.0s] a=8536, e=0.0937, goal_e=0.2452, Fr=1.0000, Fs=-0.5117, reward=-321.450
[t=564000.0s] a=8530, e=0.0940, goal_e=0.2452, Fr=-0.4877, Fs=-0.6222, reward=-293.977
[t=576000.0s] a=8515, e=0.0932, goal_e=0.2452, Fr=1.0000, Fs=0.2912, reward=-226.060
[t=588000.0s] a=8509, e=0.0927, goal_e=0.2452, Fr=-1.0000, Fs=-0.6571, reward=-208.002
[t=600000.0s] a=8516, e=0.0928, goal_e=0.2452, Fr=-0.4583, Fs=-1.0000, reward=-231.055
[t=612000.0s] a=8515, e=0.0926, goal_e=0.2452, Fr=0.4958, Fs=0.6338, reward=-227.338
[t=624000.0s] a=8500, e=0.0916, goal_e=0.2452, Fr=1.0000, Fs=-0.5292, reward=-198.134
[t=636000.0s] a=8495, e=0.0923, goal_e=0.2452, Fr=-1.0000, Fs=0.5687, reward=-200.988
[t=648000.0s] a=8505, e=0.0936, goal_e=0.2452, Fr=-1.0000, Fs=-0.4904, reward=-198.209
[t=660000.0s] a=8500, e=0.0942, goal_e=0.2452, Fr=-1.0000, Fs=0.6285, reward=-193.051
