
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=12000.0s] a=8496, e=0.0911, goal_e=0.2411, Fr=-0.9672, Fs=0.1827, reward=-371.908
[t=24000.0s] a=8500, e=0.0905, goal_e=0.2411, Fr=0.9577, Fs=-1.0000, reward=-391.739
[t=36000.0s] a=8494, e=0.0907, goal_e=0.2411, Fr=-1.0000, Fs=0.9964, reward=-397.184
[t=48000.0s] a=8491, e=0.0909, goal_e=0.2411, Fr=-0.6424, Fs=-1.0000, reward=-404.368
[t=60000.0s] a=8480, e=0.0917, goal_e=0.2411, Fr=-1.0000, Fs=-1.0000, reward=-242.154
[t=72000.0s] a=8487, e=0.0924, goal_e=0.2411, Fr=-0.7093, Fs=-0.9223, reward=-413.068
[t=84000.0s] a=8483, e=0.0926, goal_e=0.2411, Fr=0.3849, Fs=-1.0000, reward=-430.278
[t=96000.0s] a=8490, e=0.0927, goal_e=0.2411, Fr=-0.3842, Fs=-1.0000, reward=-201.253
[t=108000.0s] a=8488, e=0.0932, goal_e=0.2411, Fr=-0.9398, Fs=1.0000, reward=-208.922
[t=120000.0s] a=8499, e=0.0932, goal_e=0.2411, Fr=-0.2668, Fs=-0.7057, reward=-184.953
[t=132000.0s] a=8484, e=0.0925, goal_e=0.2411, Fr=0.7403, Fs=1.0000, reward=-223.032
[t=144000.0s] a=8485, e=0.0926, goal_e=0.2411, Fr=0.3641, Fs=1.0000, reward=-420.649
[t=156000.0s] a=8478, e=0.0938, goal_e=0.2411, Fr=-0.9225, Fs=0.1801, reward=-449.195
[t=168000.0s] a=8477, e=0.0943, goal_e=0.2411, Fr=0.9747, Fs=-0.8558, reward=-252.545
[t=180000.0s] a=8471, e=0.0948, goal_e=0.2411, Fr=-0.1381, Fs=-0.2345, reward=-479.001
[t=192000.0s] a=8470, e=0.0946, goal_e=0.2411, Fr=0.3776, Fs=-0.1637, reward=-481.116
[t=204000.0s] a=8462, e=0.0948, goal_e=0.2411, Fr=-0.8860, Fs=-0.8110, reward=-521.229
[t=216000.0s] a=8483, e=0.0952, goal_e=0.2411, Fr=-0.1412, Fs=-0.0680, reward=-400.592
[t=228000.0s] a=8479, e=0.0945, goal_e=0.2411, Fr=-0.1773, Fs=-0.6594, reward=-239.695
[t=240000.0s] a=8481, e=0.0957, goal_e=0.2411, Fr=0.0731, Fs=0.8171, reward=-229.010
[t=252000.0s] a=8470, e=0.0951, goal_e=0.2411, Fr=0.1044, Fs=-1.0000, reward=-287.126
[t=264000.0s] a=8478, e=0.0957, goal_e=0.2411, Fr=1.0000, Fs=-0.6698, reward=-444.559
[t=276000.0s] a=8495, e=0.0963, goal_e=0.2411, Fr=-1.0000, Fs=-0.7327, reward=-183.847
[t=288000.0s] a=8494, e=0.0962, goal_e=0.2411, Fr=-0.0530, Fs=-0.3104, reward=-383.329
[t=300000.0s] a=8487, e=0.0967, goal_e=0.2411, Fr=-0.0100, Fs=-0.2475, reward=-199.205
[t=312000.0s] a=8482, e=0.0965, goal_e=0.2411, Fr=-0.1579, Fs=-0.8908, reward=-427.331
[t=324000.0s] a=8483, e=0.0964, goal_e=0.2411, Fr=-0.6471, Fs=-1.0000, reward=-219.618
[t=336000.0s] a=8477, e=0.0951, goal_e=0.2411, Fr=0.0468, Fs=0.1182, reward=-447.465
[t=348000.0s] a=8476, e=0.0953, goal_e=0.2411, Fr=0.6078, Fs=-1.0000, reward=-456.668
[t=360000.0s] a=8485, e=0.0956, goal_e=0.2411, Fr=-0.0488, Fs=-0.0593, reward=-390.918
[t=372000.0s] a=8486, e=0.0970, goal_e=0.2411, Fr=1.0000, Fs=-0.5793, reward=-409.633
[t=384000.0s] a=8478, e=0.0967, goal_e=0.2411, Fr=-0.0551, Fs=-1.0000, reward=-243.723
[t=396000.0s] a=8474, e=0.0967, goal_e=0.2411, Fr=-0.5228, Fs=1.0000, reward=-263.730
[t=408000.0s] a=8462, e=0.0960, goal_e=0.2411, Fr=1.0000, Fs=-0.1910, reward=-318.503
[t=420000.0s] a=8463, e=0.0973, goal_e=0.2411, Fr=1.0000, Fs=0.1375, reward=-310.136
[t=432000.0s] a=8464, e=0.0968, goal_e=0.2411, Fr=-0.1417, Fs=0.0944, reward=-502.712
[t=444000.0s] a=8477, e=0.0970, goal_e=0.2411, Fr=0.5862, Fs=-0.7165, reward=-445.646
[t=456000.0s] a=8482, e=0.0985, goal_e=0.2411, Fr=-0.9048, Fs=1.0000, reward=-423.785
[t=468000.0s] a=8475, e=0.0984, goal_e=0.2411, Fr=-0.4901, Fs=0.5449, reward=-453.446
[t=480000.0s] a=8474, e=0.0991, goal_e=0.2411, Fr=0.3298, Fs=-1.0000, reward=-459.568
[t=492000.0s] a=8498, e=0.1007, goal_e=0.2411, Fr=1.0000, Fs=0.5458, reward=-172.274
[t=504000.0s] a=8495, e=0.1017, goal_e=0.2411, Fr=-1.0000, Fs=0.6065, reward=-172.786
[t=516000.0s] a=8498, e=0.1023, goal_e=0.2411, Fr=-1.0000, Fs=1.0000, reward=-369.410
[t=528000.0s] a=8489, e=0.1020, goal_e=0.2411, Fr=-0.8742, Fs=1.0000, reward=-187.896
[t=540000.0s] a=8486, e=0.1027, goal_e=0.2411, Fr=1.0000, Fs=-0.3483, reward=-196.304
[t=552000.0s] a=8486, e=0.1026, goal_e=0.2411, Fr=0.6991, Fs=-0.3555, reward=-396.808
[t=564000.0s] a=8488, e=0.1028, goal_e=0.2411, Fr=-0.8329, Fs=0.9833, reward=-389.077
[t=576000.0s] a=8507, e=0.1021, goal_e=0.2411, Fr=-1.0000, Fs=1.0000, reward=-176.103
[t=588000.0s] a=8513, e=0.1018, goal_e=0.2411, Fr=0.2431, Fs=-0.7231, reward=-192.256
[t=600000.0s] a=8510, e=0.1019, goal_e=0.2411, Fr=-0.7026, Fs=-0.7807, reward=-383.881
[t=612000.0s] a=8517, e=0.1024, goal_e=0.2411, Fr=0.1094, Fs=0.8519, reward=-409.702
