
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
 SUCCESS #1 of #4 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8500, e=0.0100, i=47.19deg, goal_i=45.78deg, Fw=-1.0000, reward=-31.559
[t=24000.0s] a=8500, e=0.0100, i=47.16deg, goal_i=45.78deg, Fw=0.8231, reward=-30.060
[t=36000.0s] a=8500, e=0.0100, i=47.15deg, goal_i=45.78deg, Fw=-0.5900, reward=-28.759
[t=48000.0s] a=8500, e=0.0100, i=47.12deg, goal_i=45.78deg, Fw=0.6824, reward=-5.220
[t=60000.0s] a=8500, e=0.0100, i=47.13deg, goal_i=45.78deg, Fw=-0.5476, reward=-4.561
[t=72000.0s] a=8500, e=0.0100, i=47.15deg, goal_i=45.78deg, Fw=-1.0000, reward=-30.826
[t=84000.0s] a=8500, e=0.0100, i=47.13deg, goal_i=45.78deg, Fw=-0.7190, reward=194.565
[t=96000.0s] a=8500, e=0.0100, i=47.15deg, goal_i=45.78deg, Fw=-0.5583, reward=-28.563
[t=108000.0s] a=8500, e=0.0100, i=47.14deg, goal_i=45.78deg, Fw=0.7933, reward=-29.556
[t=120000.0s] a=8500, e=0.0100, i=47.12deg, goal_i=45.78deg, Fw=-0.7908, reward=-29.288
[t=132000.0s] a=8500, e=0.0100, i=47.13deg, goal_i=45.78deg, Fw=0.1014, reward=-25.920
[t=144000.0s] a=8500, e=0.0100, i=47.16deg, goal_i=45.78deg, Fw=0.9558, reward=193.309
[t=156000.0s] a=8500, e=0.0100, i=47.17deg, goal_i=45.78deg, Fw=0.4611, reward=-28.459
[t=168000.0s] a=8500, e=0.0100, i=47.18deg, goal_i=45.78deg, Fw=0.4372, reward=195.831
[t=180000.0s] a=8500, e=0.0100, i=47.17deg, goal_i=45.78deg, Fw=0.0489, reward=-26.519
[t=192000.0s] a=8500, e=0.0100, i=47.15deg, goal_i=45.78deg, Fw=1.0000, reward=-6.909
[t=204000.0s] a=8500, e=0.0100, i=47.19deg, goal_i=45.78deg, Fw=0.9525, reward=-6.767
[t=216000.0s] a=8500, e=0.0100, i=47.17deg, goal_i=45.78deg, Fw=0.3650, reward=-27.946
[t=228000.0s] a=8500, e=0.0100, i=47.15deg, goal_i=45.78deg, Fw=-0.6423, reward=-28.985
[t=240000.0s] a=8500, e=0.0100, i=47.13deg, goal_i=45.78deg, Fw=0.1783, reward=-26.285
[t=252000.0s] a=8500, e=0.0100, i=47.12deg, goal_i=45.78deg, Fw=-0.7571, reward=-28.968
[t=264000.0s] a=8500, e=0.0100, i=47.06deg, goal_i=45.78deg, Fw=-0.5852, reward=195.389
[t=276000.0s] a=8500, e=0.0100, i=47.03deg, goal_i=45.78deg, Fw=1.0000, reward=193.405
[t=288000.0s] a=8500, e=0.0100, i=46.99deg, goal_i=45.78deg, Fw=-1.0000, reward=193.485
[t=300000.0s] a=8500, e=0.0100, i=46.95deg, goal_i=45.78deg, Fw=0.4590, reward=196.286
[t=312000.0s] a=8500, e=0.0100, i=46.95deg, goal_i=45.78deg, Fw=-0.5756, reward=195.714
[t=324000.0s] a=8500, e=0.0100, i=46.89deg, goal_i=45.78deg, Fw=-0.1399, reward=-21.353
[t=336000.0s] a=8500, e=0.0100, i=46.87deg, goal_i=45.78deg, Fw=0.9218, reward=-24.877
[t=348000.0s] a=8500, e=0.0100, i=46.82deg, goal_i=45.78deg, Fw=0.0953, reward=-1.615
[t=360000.0s] a=8500, e=0.0100, i=46.80deg, goal_i=45.78deg, Fw=0.3975, reward=-3.080
[t=372000.0s] a=8500, e=0.0100, i=46.79deg, goal_i=45.78deg, Fw=-0.9125, reward=194.357
[t=384000.0s] a=8500, e=0.0100, i=46.76deg, goal_i=45.78deg, Fw=-1.0000, reward=-23.083
[t=396000.0s] a=8500, e=0.0100, i=46.75deg, goal_i=45.78deg, Fw=1.0000, reward=-22.971
[t=408000.0s] a=8500, e=0.0100, i=46.71deg, goal_i=45.78deg, Fw=1.0000, reward=194.073
[t=420000.0s] a=8500, e=0.0100, i=46.68deg, goal_i=45.78deg, Fw=-0.3519, reward=197.356
[t=432000.0s] a=8500, e=0.0100, i=46.66deg, goal_i=45.78deg, Fw=1.0000, reward=194.148
[t=444000.0s] a=8500, e=0.0100, i=46.65deg, goal_i=45.78deg, Fw=0.3478, reward=-17.777
[t=456000.0s] a=8500, e=0.0100, i=46.63deg, goal_i=45.78deg, Fw=-0.7403, reward=-19.420
[t=468000.0s] a=8500, e=0.0100, i=46.59deg, goal_i=45.78deg, Fw=0.9818, reward=-19.926
[t=480000.0s] a=8500, e=0.0100, i=46.55deg, goal_i=45.78deg, Fw=0.9636, reward=194.517
[t=492000.0s] a=8500, e=0.0100, i=46.47deg, goal_i=45.78deg, Fw=0.6129, reward=-15.681
[t=504000.0s] a=8500, e=0.0100, i=46.40deg, goal_i=45.78deg, Fw=-0.5868, reward=-14.170
[t=516000.0s] a=8500, e=0.0100, i=46.34deg, goal_i=45.78deg, Fw=0.6762, reward=-3.781
[t=528000.0s] a=8500, e=0.0100, i=46.29deg, goal_i=45.78deg, Fw=-0.5855, reward=-3.275
 SUCCESS #2 of #5 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8500, e=0.0100, i=47.42deg, goal_i=49.80deg, Fw=-0.2427, reward=-6.810
[t=24000.0s] a=8500, e=0.0100, i=47.39deg, goal_i=49.80deg, Fw=-0.2188, reward=-48.997
[t=36000.0s] a=8500, e=0.0100, i=47.33deg, goal_i=49.80deg, Fw=1.0000, reward=-54.134
[t=48000.0s] a=8500, e=0.0100, i=47.28deg, goal_i=49.80deg, Fw=-0.1987, reward=-7.256
[t=60000.0s] a=8500, e=0.0100, i=47.22deg, goal_i=49.80deg, Fw=-0.3714, reward=-53.431
[t=72000.0s] a=8500, e=0.0100, i=47.15deg, goal_i=49.80deg, Fw=0.4875, reward=-55.715
[t=84000.0s] a=8500, e=0.0100, i=47.10deg, goal_i=49.80deg, Fw=-1.0000, reward=-59.273
[t=96000.0s] a=8500, e=0.0100, i=47.03deg, goal_i=49.80deg, Fw=-0.3508, reward=190.709
[t=108000.0s] a=8500, e=0.0100, i=46.94deg, goal_i=49.80deg, Fw=-1.0000, reward=-62.944
[t=120000.0s] a=8500, e=0.0100, i=46.91deg, goal_i=49.80deg, Fw=-1.0000, reward=186.821
[t=132000.0s] a=8500, e=0.0100, i=46.85deg, goal_i=49.80deg, Fw=-0.8277, reward=-64.199
[t=144000.0s] a=8500, e=0.0100, i=46.80deg, goal_i=49.80deg, Fw=-0.5902, reward=188.220
[t=156000.0s] a=8500, e=0.0100, i=46.77deg, goal_i=49.80deg, Fw=0.3485, reward=189.280
[t=168000.0s] a=8500, e=0.0100, i=46.73deg, goal_i=49.80deg, Fw=-0.2167, reward=-10.350
[t=180000.0s] a=8500, e=0.0100, i=46.67deg, goal_i=49.80deg, Fw=0.1869, reward=-10.522
[t=192000.0s] a=8500, e=0.0100, i=46.61deg, goal_i=49.80deg, Fw=1.0000, reward=-70.677
[t=204000.0s] a=8500, e=0.0100, i=46.55deg, goal_i=49.80deg, Fw=1.0000, reward=-71.956
[t=216000.0s] a=8500, e=0.0100, i=46.53deg, goal_i=49.80deg, Fw=-0.9441, reward=-72.340
[t=228000.0s] a=8500, e=0.0100, i=46.49deg, goal_i=49.80deg, Fw=0.2326, reward=-69.600
[t=240000.0s] a=8500, e=0.0100, i=46.46deg, goal_i=49.80deg, Fw=1.0000, reward=184.111
[t=252000.0s] a=8500, e=0.0100, i=46.43deg, goal_i=49.80deg, Fw=0.9028, reward=-74.456
[t=264000.0s] a=8500, e=0.0100, i=46.37deg, goal_i=49.80deg, Fw=-0.6012, reward=-74.400
[t=276000.0s] a=8500, e=0.0100, i=46.36deg, goal_i=49.80deg, Fw=1.0000, reward=-76.758
[t=288000.0s] a=8500, e=0.0100, i=46.32deg, goal_i=49.80deg, Fw=-0.0632, reward=-72.818
[t=300000.0s] a=8500, e=0.0100, i=46.27deg, goal_i=49.80deg, Fw=1.0000, reward=-78.862
[t=312000.0s] a=8500, e=0.0100, i=46.23deg, goal_i=49.80deg, Fw=-0.8360, reward=-79.075
[t=324000.0s] a=8500, e=0.0100, i=46.19deg, goal_i=49.80deg, Fw=-0.7311, reward=183.653
