
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=12000.0s], i=48.84deg, goal_i=46.17deg, Fw=1.0000, delta_i = -2.565828128031633e-05, term = -4811.144754401027, reward=188.026
[t=24000.0s], i=48.86deg, goal_i=46.17deg, Fw=-0.5389, delta_i = -8.331690194984809e-06, term = 2805.2899390755656, reward=-9.785
[t=36000.0s], i=48.85deg, goal_i=46.17deg, Fw=-1.0000, delta_i = 6.214924885838968e-06, term = -1003.7911114189593, reward=-58.709
[t=48000.0s], i=48.84deg, goal_i=46.17deg, Fw=1.0000, delta_i = -5.625537204290154e-06, term = -1296.2233150314953, reward=-12.004
[t=60000.0s], i=48.85deg, goal_i=46.17deg, Fw=-1.0000, delta_i = -1.460561037625041e-05, term = 3025.3420388244026, reward=187.954
[t=72000.0s], i=48.87deg, goal_i=46.17deg, Fw=-1.0000, delta_i = 2.5369271884567723e-05, term = -5089.940329394697, reward=-59.159
[t=84000.0s], i=48.87deg, goal_i=46.17deg, Fw=-0.6148, delta_i = -1.9719427471920348e-05, term = 6360.501589212024, reward=189.763
[t=96000.0s], i=48.87deg, goal_i=46.17deg, Fw=-0.7317, delta_i = 2.8714992629463865e-05, term = -7706.577067812541, reward=-57.970
[t=108000.0s], i=48.91deg, goal_i=46.17deg, Fw=1.0000, delta_i = 4.212335901143671e-05, term = 8222.236536509947, reward=-60.086
[t=120000.0s], i=48.89deg, goal_i=46.17deg, Fw=0.6512, delta_i = -2.872661127706344e-05, term = -8555.559071114, reward=189.485
[t=132000.0s], i=48.91deg, goal_i=46.17deg, Fw=1.0000, delta_i = 4.225814916392068e-05, term = 8148.184304095386, reward=-60.124
[t=144000.0s], i=48.91deg, goal_i=46.17deg, Fw=0.0439, delta_i = -1.7093750970254007e-06, term = -7464.303503007926, reward=-7.590
[t=156000.0s], i=48.88deg, goal_i=46.17deg, Fw=1.0000, delta_i = 3.237377311393619e-05, term = 6141.661588571703, reward=-59.410
[t=168000.0s], i=48.88deg, goal_i=46.17deg, Fw=0.0129, delta_i = -3.2218110868065253e-07, term = -4693.602903928832, reward=-7.275
[t=180000.0s], i=48.88deg, goal_i=46.17deg, Fw=-0.1512, delta_i = -2.236197801819273e-06, term = 2674.5270504086575, reward=-7.968
[t=192000.0s], i=48.86deg, goal_i=46.17deg, Fw=-0.0528, delta_i = 2.909522593963487e-07, term = -866.9512997997862, reward=-54.188
[t=204000.0s], i=48.87deg, goal_i=46.17deg, Fw=1.0000, delta_i = -6.322396188584989e-06, term = -1430.9435852909746, reward=-12.163
[t=216000.0s], i=48.86deg, goal_i=46.17deg, Fw=-0.0540, delta_i = -8.242619576881438e-07, term = 3153.325057909839, reward=-7.402
[t=228000.0s], i=48.83deg, goal_i=46.17deg, Fw=-0.4305, delta_i = 1.1176006591728793e-05, term = -5202.627860094798, reward=-55.420
[t=240000.0s], i=48.82deg, goal_i=46.17deg, Fw=1.0000, delta_i = 3.256480211411006e-05, term = 6452.744646303837, reward=-58.087
[t=252000.0s], i=48.82deg, goal_i=46.17deg, Fw=0.2510, delta_i = -9.932487039732152e-06, term = -7767.227768731724, reward=-8.172
[t=264000.0s], i=48.83deg, goal_i=46.17deg, Fw=0.9648, delta_i = 4.081105514264216e-05, term = 8253.404724969492, reward=-58.262
[t=276000.0s], i=48.80deg, goal_i=46.17deg, Fw=1.0000, delta_i = -4.410232694485039e-05, term = -8549.945746800577, reward=188.177
[t=288000.0s], i=48.81deg, goal_i=46.17deg, Fw=-1.0000, delta_i = -4.207880712836509e-05, term = 8109.999018888855, reward=188.123
[t=300000.0s], i=48.82deg, goal_i=46.17deg, Fw=-1.0000, delta_i = 3.8634829817363325e-05, term = -7395.821972886127, reward=-58.170
[t=312000.0s], i=48.83deg, goal_i=46.17deg, Fw=-0.4486, delta_i = -1.4300239578712848e-05, term = 6042.790986836904, reward=190.791
[t=324000.0s], i=48.82deg, goal_i=46.17deg, Fw=-1.0000, delta_i = 2.4444512424004472e-05, term = -4572.062731739538, reward=-58.089
[t=336000.0s], i=48.81deg, goal_i=46.17deg, Fw=-0.5491, delta_i = -7.724694004895838e-06, term = 2533.1427982072146, reward=-9.618
[t=348000.0s], i=48.83deg, goal_i=46.17deg, Fw=0.2340, delta_i = -1.12110458050374e-06, term = -726.4249674359977, reward=-8.166
[t=360000.0s], i=48.86deg, goal_i=46.17deg, Fw=-0.1032, delta_i = 7.27175324732876e-07, term = -1571.5757345925206, reward=-54.493
[t=372000.0s], i=48.83deg, goal_i=46.17deg, Fw=-1.0000, delta_i = -1.5937729174853033e-05, term = 3281.4340932148234, reward=188.004
[t=384000.0s], i=48.83deg, goal_i=46.17deg, Fw=0.1604, delta_i = -4.258264971634951e-06, term = -5312.852623400521, reward=-7.787
[t=396000.0s], i=48.82deg, goal_i=46.17deg, Fw=1.0000, delta_i = 3.302639830826681e-05, term = 6539.802405696483, reward=-58.217
[t=408000.0s], i=48.81deg, goal_i=46.17deg, Fw=-0.6477, delta_i = 2.5828011032125175e-05, term = -7822.493789803739, reward=-56.273
[t=420000.0s], i=48.83deg, goal_i=46.17deg, Fw=-1.0000, delta_i = -4.2452279407023674e-05, term = 8279.555278903119, reward=187.977
[t=432000.0s], i=48.87deg, goal_i=46.17deg, Fw=0.3366, delta_i = -1.4838551835483216e-05, term = -8542.84305750047, reward=191.114
[t=444000.0s], i=48.86deg, goal_i=46.17deg, Fw=-0.0647, delta_i = -2.7119202240522e-06, term = 8072.026771427631, reward=-7.478
[t=456000.0s], i=48.80deg, goal_i=46.17deg, Fw=1.0000, delta_i = -3.829477026451311e-05, term = -7326.977202126328, reward=188.118
[t=468000.0s], i=48.82deg, goal_i=46.17deg, Fw=-0.3103, delta_i = -9.739039350753487e-06, term = 5945.647665518568, reward=-8.506
[t=480000.0s], i=48.84deg, goal_i=46.17deg, Fw=-0.0043, delta_i = 1.0324467880629129e-07, term = -4457.5627842049, reward=-53.567
[t=492000.0s], i=48.87deg, goal_i=46.17deg, Fw=0.4936, delta_i = 6.60795067863873e-06, term = 2400.160650813301, reward=-56.728
[t=504000.0s], i=48.87deg, goal_i=46.17deg, Fw=0.9068, delta_i = -3.679034369930001e-06, term = -583.7830138894195, reward=-11.766
[t=516000.0s], i=48.87deg, goal_i=46.17deg, Fw=1.0000, delta_i = -7.806419955014299e-06, term = -1717.6650306173856, reward=-12.241
[t=528000.0s], i=48.89deg, goal_i=46.17deg, Fw=-0.8066, delta_i = -1.3418339095072618e-05, term = 3415.388282220841, reward=188.633
[t=540000.0s], i=48.86deg, goal_i=46.17deg, Fw=1.0000, delta_i = -2.7140262392810754e-05, term = -5427.072005577649, reward=187.789
[t=552000.0s], i=48.84deg, goal_i=46.17deg, Fw=0.5693, delta_i = 1.9075721358174924e-05, term = 6630.191612537642, reward=-56.553
[t=564000.0s], i=48.88deg, goal_i=46.17deg, Fw=0.2286, delta_i = -9.18839994412668e-06, term = -7881.101866089553, reward=-8.454
[t=576000.0s], i=48.87deg, goal_i=46.17deg, Fw=0.1816, delta_i = 7.736386960166541e-06, term = 8306.700794714727, reward=-55.290
[t=588000.0s], i=48.90deg, goal_i=46.17deg, Fw=-0.3785, delta_i = 1.6672602144551796e-05, term = -8532.2851791773, reward=-56.868
[t=600000.0s], i=48.92deg, goal_i=46.17deg, Fw=0.0246, delta_i = 1.0275636833645407e-06, term = 8029.589632361003, reward=-55.573
[t=612000.0s], i=48.93deg, goal_i=46.17deg, Fw=-0.2582, delta_i = 9.793783358524877e-06, term = -7254.0595011855285, reward=-56.894
[t=624000.0s], i=48.94deg, goal_i=46.17deg, Fw=1.0000, delta_i = 3.0902688283651614e-05, term = 5848.87848309419, reward=-60.973
[t=636000.0s], i=48.95deg, goal_i=46.17deg, Fw=-0.8146, delta_i = 1.8965343885124497e-05, term = -4342.93945464887, reward=-60.139
[t=648000.0s], i=48.95deg, goal_i=46.17deg, Fw=1.0000, delta_i = 1.272071218205717e-05, term = 2269.794398371303, reward=-61.235
[t=660000.0s], i=48.96deg, goal_i=46.17deg, Fw=-0.3415, delta_i = 1.164529780939283e-06, term = -458.11658933423445, reward=-57.976
[t=672000.0s], i=48.95deg, goal_i=46.17deg, Fw=-1.0000, delta_i = 8.439022711415056e-06, term = -1840.116234407679, reward=-61.153
[t=684000.0s], i=48.95deg, goal_i=46.17deg, Fw=0.2504, delta_i = 4.313227341956605e-06, term = 3528.4253969974393, reward=-57.427
[t=696000.0s], i=48.95deg, goal_i=46.17deg, Fw=1.0000, delta_i = -2.765709844065878e-05, term = -5525.395510926484, reward=187.327
[t=708000.0s], i=48.93deg, goal_i=46.17deg, Fw=1.0000, delta_i = 3.392445541938738e-05, term = 6708.931536848733, reward=-60.691
[t=720000.0s], i=48.93deg, goal_i=46.17deg, Fw=0.5743, delta_i = -2.3235210480199164e-05, term = -7930.474584406249, reward=189.556
[t=732000.0s], i=48.92deg, goal_i=46.17deg, Fw=-0.8524, delta_i = -3.643013360199454e-05, term = 8328.13744625493, reward=188.188
[t=744000.0s], i=48.92deg, goal_i=46.17deg, Fw=-0.0425, delta_i = 1.868021702877698e-06, term = -8521.235516500898, reward=-55.761
[t=756000.0s], i=48.90deg, goal_i=46.17deg, Fw=0.6197, delta_i = 2.57164078033556e-05, term = 7987.539505930791, reward=-58.087
[t=768000.0s], i=48.88deg, goal_i=46.17deg, Fw=0.1675, delta_i = -6.295693373514766e-06, term = -7183.54043160674, reward=-8.159
[t=780000.0s], i=48.88deg, goal_i=46.17deg, Fw=-1.0000, delta_i = -3.0413927419425946e-05, term = 5751.593948830036, reward=187.651
[t=792000.0s], i=48.85deg, goal_i=46.17deg, Fw=0.6110, delta_i = -1.3880967793422627e-05, term = -4232.289048436042, reward=189.775
[t=804000.0s], i=48.83deg, goal_i=46.17deg, Fw=0.4946, delta_i = 5.981729270354563e-06, term = 2147.5139762299164, reward=-55.804
[t=816000.0s], i=48.85deg, goal_i=46.17deg, Fw=-0.3619, delta_i = 9.891031672593087e-07, term = -326.63127879909644, reward=-55.797
[t=828000.0s], i=48.87deg, goal_i=46.17deg, Fw=-0.7879, delta_i = 7.1737118583214965e-06, term = -1968.522842599565, reward=-58.318
[t=840000.0s], i=48.85deg, goal_i=46.17deg, Fw=0.6991, delta_i = 1.2472533117202644e-05, term = 3647.0799363346528, reward=-57.408
[t=852000.0s], i=48.84deg, goal_i=46.17deg, Fw=0.4581, delta_i = -1.2898597306021387e-05, term = -5620.733188124407, reward=190.572
[t=864000.0s], i=48.86deg, goal_i=46.17deg, Fw=-0.2153, delta_i = -7.390267432572095e-06, term = 6785.237267391222, reward=-342.606
 FAILURE #4 of #4 episodes

 ------------------------------------------------- 
[t=12000.0s], i=49.26deg, goal_i=42.07deg, Fw=-0.3360, delta_i = 8.619664099041024e-06, term = -4810.312308174015, reward=-172.697
[t=24000.0s], i=49.26deg, goal_i=42.07deg, Fw=-1.0000, delta_i = -1.5462999344739714e-05, term = 2805.912417930508, reward=149.420
