
 ------------------------------------------------- 
[t=12000.0s] a=8500, e=0.0100, i=48.53deg, goal_i=55.87deg, Fw=1.0000, reward=-180.310
[t=24000.0s] a=8500, e=0.0100, i=48.62deg, goal_i=55.87deg, Fw=1.0000, reward=148.765
[t=36000.0s] a=8500, e=0.0100, i=48.51deg, goal_i=55.87deg, Fw=1.0000, reward=-180.815
[t=48000.0s] a=8500, e=0.0100, i=48.61deg, goal_i=55.87deg, Fw=1.0000, reward=-178.019
[t=60000.0s] a=8500, e=0.0100, i=48.51deg, goal_i=55.87deg, Fw=1.0000, reward=147.491
[t=72000.0s] a=8500, e=0.0100, i=48.59deg, goal_i=55.87deg, Fw=1.0000, reward=-178.649
[t=84000.0s] a=8500, e=0.0100, i=48.51deg, goal_i=55.87deg, Fw=1.0000, reward=147.529
[t=96000.0s] a=8500, e=0.0100, i=48.56deg, goal_i=55.87deg, Fw=1.0000, reward=-179.534
[t=108000.0s] a=8500, e=0.0100, i=48.52deg, goal_i=55.87deg, Fw=1.0000, reward=147.655
[t=120000.0s] a=8500, e=0.0100, i=48.53deg, goal_i=55.87deg, Fw=1.0000, reward=-180.552
[t=132000.0s] a=8500, e=0.0100, i=48.54deg, goal_i=55.87deg, Fw=1.0000, reward=147.811
[t=144000.0s] a=8500, e=0.0100, i=48.49deg, goal_i=55.87deg, Fw=1.0000, reward=-181.540
[t=156000.0s] a=8500, e=0.0100, i=48.55deg, goal_i=55.87deg, Fw=1.0000, reward=147.932
[t=168000.0s] a=8500, e=0.0100, i=48.46deg, goal_i=55.87deg, Fw=1.0000, reward=-182.344
[t=180000.0s] a=8500, e=0.0100, i=48.55deg, goal_i=55.87deg, Fw=1.0000, reward=147.959
[t=192000.0s] a=8500, e=0.0100, i=48.45deg, goal_i=55.87deg, Fw=1.0000, reward=-182.839
[t=204000.0s] a=8500, e=0.0100, i=48.54deg, goal_i=55.87deg, Fw=1.0000, reward=-180.040
[t=216000.0s] a=8500, e=0.0100, i=48.44deg, goal_i=55.87deg, Fw=1.0000, reward=146.680
[t=228000.0s] a=8500, e=0.0100, i=48.52deg, goal_i=55.87deg, Fw=1.0000, reward=-180.683
[t=240000.0s] a=8500, e=0.0100, i=48.44deg, goal_i=55.87deg, Fw=1.0000, reward=146.722
[t=252000.0s] a=8500, e=0.0100, i=48.49deg, goal_i=55.87deg, Fw=1.0000, reward=-181.576
[t=264000.0s] a=8500, e=0.0100, i=48.45deg, goal_i=55.87deg, Fw=1.0000, reward=146.851
[t=276000.0s] a=8500, e=0.0100, i=48.46deg, goal_i=55.87deg, Fw=1.0000, reward=-182.598
[t=288000.0s] a=8500, e=0.0100, i=48.47deg, goal_i=55.87deg, Fw=1.0000, reward=147.008
[t=300000.0s] a=8500, e=0.0100, i=48.42deg, goal_i=55.87deg, Fw=1.0000, reward=-183.583
[t=312000.0s] a=8500, e=0.0100, i=48.48deg, goal_i=55.87deg, Fw=1.0000, reward=147.127
[t=324000.0s] a=8500, e=0.0100, i=48.39deg, goal_i=55.87deg, Fw=1.0000, reward=-184.379
[t=336000.0s] a=8500, e=0.0100, i=48.48deg, goal_i=55.87deg, Fw=1.0000, reward=147.151
[t=348000.0s] a=8500, e=0.0100, i=48.38deg, goal_i=55.87deg, Fw=1.0000, reward=-184.865
[t=360000.0s] a=8500, e=0.0100, i=48.47deg, goal_i=55.87deg, Fw=1.0000, reward=-182.062
[t=372000.0s] a=8500, e=0.0100, i=48.37deg, goal_i=55.87deg, Fw=1.0000, reward=145.867
[t=384000.0s] a=8500, e=0.0100, i=48.45deg, goal_i=55.87deg, Fw=1.0000, reward=-182.718
