
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=120000.0s], i=45.14deg, goal_i=46.74deg, Fw=-1.0000, delta_i = 0.0003496950520407438, term = -7875.369611520292, reward=-140.580
[t=240000.0s], i=44.98deg, goal_i=46.74deg, Fw=0.8756, delta_i = 7.000193618433848e-05, term = 3508.6394565391774, reward=-154.425
[t=360000.0s], i=44.60deg, goal_i=46.74deg, Fw=-1.0000, delta_i = -0.00020794722382866393, term = 2157.745133497468, reward=-291.782
[t=480000.0s], i=44.81deg, goal_i=46.74deg, Fw=-0.2394, delta_i = 9.813866016283868e-05, term = -7103.249646331175, reward=-168.821
[t=600000.0s], i=44.95deg, goal_i=46.74deg, Fw=0.3621, delta_i = 0.0001453246102927075, term = 8371.295647626823, reward=-156.927
[t=720000.0s], i=44.97deg, goal_i=46.74deg, Fw=1.0000, delta_i = -0.00021264447077773418, term = -5829.498607386432, reward=-262.157
[t=840000.0s], i=44.94deg, goal_i=46.74deg, Fw=-0.3743, delta_i = 3.730246848698826e-05, term = 69.73864854960011, reward=-157.291
[t=960000.0s], i=45.11deg, goal_i=46.74deg, Fw=-1.0000, delta_i = -0.0003453497704789532, term = 5341.215678056212, reward=-315.882
[t=1080000.0s], i=45.05deg, goal_i=46.74deg, Fw=1.0000, delta_i = -0.00043593769523853076, term = -8438.930510915496, reward=-366.997
[t=1200000.0s], i=45.00deg, goal_i=46.74deg, Fw=0.4807, delta_i = 0.00014364642831610208, term = 7145.285774052219, reward=-152.482
[t=1320000.0s], i=44.71deg, goal_i=46.74deg, Fw=0.6701, delta_i = -2.3231334913220714e-05, term = -2699.9680326240455, reward=-189.505
[t=1440000.0s], i=44.40deg, goal_i=46.74deg, Fw=-0.1877, delta_i = 4.99980834459679e-05, term = -3468.032342942052, reward=-205.001
[t=1560000.0s], i=44.49deg, goal_i=46.74deg, Fw=1.0000, delta_i = 0.00042209026746142797, term = 7619.9936704122065, reward=-197.322
[t=1680000.0s], i=44.51deg, goal_i=46.74deg, Fw=0.4668, delta_i = -0.00017926948581836744, term = -8278.247864354116, reward=-285.084
[t=1800000.0s], i=44.49deg, goal_i=46.74deg, Fw=-1.0000, delta_i = -0.00014137774349443077, term = 4598.807494962567, reward=-268.484
[t=1920000.0s], i=44.11deg, goal_i=46.74deg, Fw=1.0000, delta_i = 0.00014898516038464038, term = 912.2300846795578, reward=-230.700
[t=2040000.0s], i=43.94deg, goal_i=46.74deg, Fw=1.0000, delta_i = -0.00038455836584094794, term = -6357.591575280644, reward=-438.400
[t=2160000.0s], i=44.11deg, goal_i=46.74deg, Fw=-0.5916, delta_i = -0.0002480657301120459, term = 8437.697907666916, reward=-354.469
[t=2280000.0s], i=44.51deg, goal_i=46.74deg, Fw=0.3489, delta_i = -9.214082966879644e-05, term = -6650.117808054198, reward=-241.372
[t=2400000.0s], i=44.52deg, goal_i=46.74deg, Fw=-0.2570, delta_i = 1.0046881173009226e-05, term = 1268.2081183281184, reward=-194.392
[t=2520000.0s], i=44.60deg, goal_i=46.74deg, Fw=-0.2243, delta_i = -6.850720154005785e-05, term = 4361.097458184567, reward=-222.418
 FAILURE #4 of #4 episodes

 ------------------------------------------------- 
[t=120000.0s], i=44.84deg, goal_i=46.27deg, Fw=-0.6182, delta_i = 0.00021663618693579245, term = -7884.427340585814, reward=-124.871
[t=240000.0s], i=44.77deg, goal_i=46.27deg, Fw=-0.9982, delta_i = -8.220495026090013e-05, term = 3549.1835324413873, reward=-173.009
[t=360000.0s], i=44.81deg, goal_i=46.27deg, Fw=-0.6624, delta_i = -0.0001365513063011914, term = 2119.2659244733222, reward=-196.063
[t=480000.0s], i=44.74deg, goal_i=46.27deg, Fw=0.3264, delta_i = -0.00013375873298049346, term = -7094.725091268893, reward=-200.779
