
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
 SUCCESS #1 of #4 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8498, e=0.0109, i=49.04deg, goal_i=49.90deg, Fr=0.0187, Fs=0.0897, Fw=-1.0000, reward=432.777
[t=24000.0s] a=8494, e=0.0098, i=49.03deg, goal_i=49.90deg, Fr=1.0000, Fs=-1.0000, Fw=-0.3286, reward=173.629
[t=36000.0s] a=8486, e=0.0094, i=49.02deg, goal_i=49.90deg, Fr=0.3659, Fs=-1.0000, Fw=0.4441, reward=151.272
[t=48000.0s] a=8473, e=0.0084, i=49.03deg, goal_i=49.90deg, Fr=1.0000, Fs=-0.8900, Fw=0.2210, reward=89.043
[t=60000.0s] a=8469, e=0.0095, i=49.00deg, goal_i=49.90deg, Fr=-0.3960, Fs=-0.4516, Fw=-0.2914, reward=72.632
[t=72000.0s] a=8467, e=0.0109, i=48.99deg, goal_i=49.90deg, Fr=1.0000, Fs=-1.0000, Fw=0.6827, reward=59.316
[t=84000.0s] a=8472, e=0.0102, i=48.99deg, goal_i=49.90deg, Fr=-1.0000, Fs=0.0220, Fw=0.3488, reward=300.244
[t=96000.0s] a=8489, e=0.0104, i=48.98deg, goal_i=49.90deg, Fr=1.0000, Fs=-0.0992, Fw=-0.7846, reward=394.644
[t=108000.0s] a=8488, e=0.0106, i=48.99deg, goal_i=49.90deg, Fr=0.5248, Fs=-0.0556, Fw=-0.1788, reward=179.313
[t=120000.0s] a=8501, e=0.0096, i=48.99deg, goal_i=49.90deg, Fr=0.9871, Fs=-0.9586, Fw=-1.0000, reward=393.745
[t=132000.0s] a=8510, e=0.0107, i=48.97deg, goal_i=49.90deg, Fr=0.8853, Fs=1.0000, Fw=-1.0000, reward=161.031
[t=144000.0s] a=8514, e=0.0107, i=48.98deg, goal_i=49.90deg, Fr=-0.9509, Fs=-0.0805, Fw=1.0000, reward=166.814
[t=156000.0s] a=8500, e=0.0112, i=48.99deg, goal_i=49.90deg, Fr=1.0000, Fs=-0.4624, Fw=-0.6740, reward=176.806
[t=168000.0s] a=8503, e=0.0110, i=48.99deg, goal_i=49.90deg, Fr=0.3452, Fs=-0.3658, Fw=0.2830, reward=178.502
