
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=12000.0s] a=8500, e=0.0100, i=49.77deg, goal_i=52.58deg, Fw=-0.1481, reward=-8.522
[t=24000.0s] a=8500, e=0.0100, i=49.77deg, goal_i=52.58deg, Fw=1.0000, reward=187.266
[t=36000.0s] a=8500, e=0.0100, i=49.81deg, goal_i=52.58deg, Fw=-1.0000, reward=-12.534
[t=48000.0s] a=8500, e=0.0100, i=49.81deg, goal_i=52.58deg, Fw=0.2651, reward=-57.281
[t=60000.0s] a=8500, e=0.0100, i=49.80deg, goal_i=52.58deg, Fw=0.1496, reward=-8.353
[t=72000.0s] a=8500, e=0.0100, i=49.80deg, goal_i=52.58deg, Fw=-0.9685, reward=187.542
[t=84000.0s] a=8500, e=0.0100, i=49.77deg, goal_i=52.58deg, Fw=-1.0000, reward=-61.953
[t=96000.0s] a=8500, e=0.0100, i=49.75deg, goal_i=52.58deg, Fw=-0.7505, reward=188.354
[t=108000.0s] a=8500, e=0.0100, i=49.76deg, goal_i=52.58deg, Fw=1.0000, reward=187.179
[t=120000.0s] a=8500, e=0.0100, i=49.76deg, goal_i=52.58deg, Fw=1.0000, reward=-62.240
[t=132000.0s] a=8500, e=0.0100, i=49.76deg, goal_i=52.58deg, Fw=0.5541, reward=189.418
[t=144000.0s] a=8500, e=0.0100, i=49.75deg, goal_i=52.58deg, Fw=-1.0000, reward=187.133
[t=156000.0s] a=8500, e=0.0100, i=49.75deg, goal_i=52.58deg, Fw=-0.5396, reward=-60.041
[t=168000.0s] a=8500, e=0.0100, i=49.78deg, goal_i=52.58deg, Fw=0.3899, reward=-58.704
[t=180000.0s] a=8500, e=0.0100, i=49.77deg, goal_i=52.58deg, Fw=-0.3602, reward=-58.619
[t=192000.0s] a=8500, e=0.0100, i=49.75deg, goal_i=52.58deg, Fw=-0.2000, reward=-8.892
[t=204000.0s] a=8500, e=0.0100, i=49.73deg, goal_i=52.58deg, Fw=0.1565, reward=-58.550
[t=216000.0s] a=8500, e=0.0100, i=49.75deg, goal_i=52.58deg, Fw=-0.3810, reward=-59.324
[t=228000.0s] a=8500, e=0.0100, i=49.75deg, goal_i=52.58deg, Fw=1.0000, reward=-62.431
[t=240000.0s] a=8500, e=0.0100, i=49.72deg, goal_i=52.58deg, Fw=0.9645, reward=187.100
[t=252000.0s] a=8500, e=0.0100, i=49.71deg, goal_i=52.58deg, Fw=-0.6454, reward=188.643
[t=264000.0s] a=8500, e=0.0100, i=49.72deg, goal_i=52.58deg, Fw=-1.0000, reward=-63.188
[t=276000.0s] a=8500, e=0.0100, i=49.71deg, goal_i=52.58deg, Fw=-0.9783, reward=186.948
[t=288000.0s] a=8500, e=0.0100, i=49.68deg, goal_i=52.58deg, Fw=-0.2777, reward=-60.425
[t=300000.0s] a=8500, e=0.0100, i=49.68deg, goal_i=52.58deg, Fw=-0.6459, reward=188.471
