
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=12000.0s] a=8500, e=0.0100, i=45.97deg, goal_i=61.44deg, Fw=1.0000, reward=-414.767
[t=24000.0s] a=8500, e=0.0100, i=45.99deg, goal_i=61.44deg, Fw=0.8797, reward=56.149
[t=36000.0s] a=8500, e=0.0100, i=46.02deg, goal_i=61.44deg, Fw=-0.3812, reward=-141.081
[t=48000.0s] a=8500, e=0.0100, i=46.02deg, goal_i=61.44deg, Fw=-1.0000, reward=-144.164
[t=60000.0s] a=8500, e=0.0100, i=46.01deg, goal_i=61.44deg, Fw=0.0070, reward=-139.277
[t=72000.0s] a=8500, e=0.0100, i=46.00deg, goal_i=61.44deg, Fw=-0.3676, reward=-141.177
[t=84000.0s] a=8500, e=0.0100, i=46.03deg, goal_i=61.44deg, Fw=0.0102, reward=-139.081
[t=96000.0s] a=8500, e=0.0100, i=46.03deg, goal_i=61.44deg, Fw=0.7401, reward=-411.915
[t=108000.0s] a=8500, e=0.0100, i=46.02deg, goal_i=61.44deg, Fw=0.4184, reward=58.778
[t=120000.0s] a=8500, e=0.0100, i=46.02deg, goal_i=61.44deg, Fw=-1.0000, reward=55.851
[t=132000.0s] a=8500, e=0.0100, i=46.04deg, goal_i=61.44deg, Fw=1.0000, reward=56.065
[t=144000.0s] a=8500, e=0.0100, i=46.03deg, goal_i=61.44deg, Fw=0.3077, reward=-409.554
[t=156000.0s] a=8500, e=0.0100, i=46.04deg, goal_i=61.44deg, Fw=0.2846, reward=-140.380
[t=168000.0s] a=8500, e=0.0100, i=46.05deg, goal_i=61.44deg, Fw=-0.3293, reward=-140.556
[t=180000.0s] a=8500, e=0.0100, i=46.06deg, goal_i=61.44deg, Fw=-0.1169, reward=-407.746
[t=192000.0s] a=8500, e=0.0100, i=46.07deg, goal_i=61.44deg, Fw=0.5299, reward=-409.787
[t=204000.0s] a=8500, e=0.0100, i=46.07deg, goal_i=61.44deg, Fw=0.5689, reward=-409.904
[t=216000.0s] a=8500, e=0.0100, i=46.05deg, goal_i=61.44deg, Fw=0.4725, reward=-141.299
[t=228000.0s] a=8500, e=0.0100, i=46.00deg, goal_i=61.44deg, Fw=1.0000, reward=-413.986
[t=240000.0s] a=8500, e=0.0100, i=46.02deg, goal_i=61.44deg, Fw=1.0000, reward=55.775
[t=252000.0s] a=8500, e=0.0100, i=46.02deg, goal_i=61.44deg, Fw=0.8717, reward=-412.942
[t=264000.0s] a=8500, e=0.0100, i=46.04deg, goal_i=61.44deg, Fw=-1.0000, reward=-412.856
[t=276000.0s] a=8500, e=0.0100, i=46.10deg, goal_i=61.44deg, Fw=0.1188, reward=-406.911
[t=288000.0s] a=8500, e=0.0100, i=46.10deg, goal_i=61.44deg, Fw=1.0000, reward=56.579
[t=300000.0s] a=8500, e=0.0100, i=46.11deg, goal_i=61.44deg, Fw=-1.0000, reward=56.626
[t=312000.0s] a=8500, e=0.0100, i=46.14deg, goal_i=61.44deg, Fw=-0.2384, reward=-406.455
[t=324000.0s] a=8500, e=0.0100, i=46.17deg, goal_i=61.44deg, Fw=0.4804, reward=-406.901
[t=336000.0s] a=8500, e=0.0100, i=46.21deg, goal_i=61.44deg, Fw=-0.8307, reward=-407.427
[t=348000.0s] a=8500, e=0.0100, i=46.21deg, goal_i=61.44deg, Fw=0.0911, reward=-403.780
[t=360000.0s] a=8500, e=0.0100, i=46.19deg, goal_i=61.44deg, Fw=-0.6886, reward=-141.105
[t=372000.0s] a=8500, e=0.0100, i=46.19deg, goal_i=61.44deg, Fw=-0.7317, reward=-407.618
[t=384000.0s] a=8500, e=0.0100, i=46.20deg, goal_i=61.44deg, Fw=-0.5235, reward=59.817
[t=396000.0s] a=8500, e=0.0100, i=46.22deg, goal_i=61.44deg, Fw=1.0000, reward=57.674
[t=408000.0s] a=8500, e=0.0100, i=46.25deg, goal_i=61.44deg, Fw=0.2278, reward=-403.275
[t=420000.0s] a=8500, e=0.0100, i=46.26deg, goal_i=61.44deg, Fw=0.0653, reward=-137.309
[t=432000.0s] a=8500, e=0.0100, i=46.32deg, goal_i=61.44deg, Fw=-0.5997, reward=60.645
[t=444000.0s] a=8500, e=0.0100, i=46.39deg, goal_i=61.44deg, Fw=1.0000, reward=59.280
[t=456000.0s] a=8500, e=0.0100, i=46.39deg, goal_i=61.44deg, Fw=-0.4618, reward=61.951
[t=468000.0s] a=8500, e=0.0100, i=46.44deg, goal_i=61.44deg, Fw=-0.2051, reward=-398.252
[t=480000.0s] a=8500, e=0.0100, i=46.47deg, goal_i=61.44deg, Fw=-0.8440, reward=60.868
[t=492000.0s] a=8500, e=0.0100, i=46.49deg, goal_i=61.44deg, Fw=-0.7831, reward=-399.758
[t=504000.0s] a=8500, e=0.0100, i=46.52deg, goal_i=61.44deg, Fw=-1.0000, reward=-139.438
[t=516000.0s] a=8500, e=0.0100, i=46.56deg, goal_i=61.44deg, Fw=1.0000, reward=-398.738
[t=528000.0s] a=8500, e=0.0100, i=46.61deg, goal_i=61.44deg, Fw=1.0000, reward=61.368
[t=540000.0s] a=8500, e=0.0100, i=46.65deg, goal_i=61.44deg, Fw=0.0016, reward=-391.479
[t=552000.0s] a=8500, e=0.0100, i=46.66deg, goal_i=61.44deg, Fw=-1.0000, reward=-396.219
[t=564000.0s] a=8500, e=0.0100, i=46.72deg, goal_i=61.44deg, Fw=0.6282, reward=-392.798
[t=576000.0s] a=8500, e=0.0100, i=46.78deg, goal_i=61.44deg, Fw=-0.4437, reward=-390.050
[t=588000.0s] a=8500, e=0.0100, i=46.82deg, goal_i=61.44deg, Fw=-1.0000, reward=63.517
[t=600000.0s] a=8500, e=0.0100, i=46.85deg, goal_i=61.44deg, Fw=1.0000, reward=63.830
[t=612000.0s] a=8500, e=0.0100, i=46.90deg, goal_i=61.44deg, Fw=-0.7602, reward=65.510
[t=624000.0s] a=8500, e=0.0100, i=46.95deg, goal_i=61.44deg, Fw=1.0000, reward=64.819
[t=636000.0s] a=8500, e=0.0100, i=47.00deg, goal_i=61.44deg, Fw=-0.5579, reward=67.482
[t=648000.0s] a=8500, e=0.0100, i=47.05deg, goal_i=61.44deg, Fw=0.1165, reward=-129.828
[t=660000.0s] a=8500, e=0.0100, i=47.10deg, goal_i=61.44deg, Fw=1.0000, reward=-384.041
[t=672000.0s] a=8500, e=0.0100, i=47.12deg, goal_i=61.44deg, Fw=-1.0000, reward=-133.491
[t=684000.0s] a=8500, e=0.0100, i=47.18deg, goal_i=61.44deg, Fw=1.0000, reward=67.099
[t=696000.0s] a=8500, e=0.0100, i=47.24deg, goal_i=61.44deg, Fw=0.2037, reward=-376.249
[t=708000.0s] a=8500, e=0.0100, i=47.30deg, goal_i=61.44deg, Fw=0.5232, reward=70.756
[t=720000.0s] a=8500, e=0.0100, i=47.35deg, goal_i=61.44deg, Fw=1.0000, reward=-377.270
[t=732000.0s] a=8500, e=0.0100, i=47.38deg, goal_i=61.44deg, Fw=1.0000, reward=69.213
[t=744000.0s] a=8500, e=0.0100, i=47.44deg, goal_i=61.44deg, Fw=-1.0000, reward=69.850
[t=756000.0s] a=8500, e=0.0100, i=47.49deg, goal_i=61.44deg, Fw=-0.3012, reward=-369.761
[t=768000.0s] a=8500, e=0.0100, i=47.55deg, goal_i=61.44deg, Fw=-0.6439, reward=72.731
[t=780000.0s] a=8500, e=0.0100, i=47.59deg, goal_i=61.44deg, Fw=0.1584, reward=-124.415
[t=792000.0s] a=8500, e=0.0100, i=47.64deg, goal_i=61.44deg, Fw=1.0000, reward=-368.921
[t=804000.0s] a=8500, e=0.0100, i=47.68deg, goal_i=61.44deg, Fw=-0.5030, reward=-365.394
[t=816000.0s] a=8500, e=0.0100, i=47.75deg, goal_i=61.44deg, Fw=0.7470, reward=-364.536
[t=828000.0s] a=8500, e=0.0100, i=47.79deg, goal_i=61.44deg, Fw=-0.3029, reward=-122.999
[t=840000.0s] a=8500, e=0.0100, i=47.86deg, goal_i=61.44deg, Fw=-0.9619, reward=-362.526
[t=852000.0s] a=8500, e=0.0100, i=47.95deg, goal_i=61.44deg, Fw=0.4744, reward=-357.685
[t=864000.0s] a=8500, e=0.0100, i=48.00deg, goal_i=61.44deg, Fw=1.0000, reward=-796.538
 FAILURE #4 of #4 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8500, e=0.0100, i=47.04deg, goal_i=34.99deg, Fw=0.5685, reward=93.925
[t=24000.0s] a=8500, e=0.0100, i=47.11deg, goal_i=34.99deg, Fw=-0.8858, reward=91.535
[t=36000.0s] a=8500, e=0.0100, i=47.20deg, goal_i=34.99deg, Fw=-1.0000, reward=-323.279
[t=48000.0s] a=8500, e=0.0100, i=47.27deg, goal_i=34.99deg, Fw=-0.5850, reward=-323.036
[t=60000.0s] a=8500, e=0.0100, i=47.32deg, goal_i=34.99deg, Fw=-1.0000, reward=88.471
[t=72000.0s] a=8500, e=0.0100, i=47.38deg, goal_i=34.99deg, Fw=0.1359, reward=-107.907
[t=84000.0s] a=8500, e=0.0100, i=47.45deg, goal_i=34.99deg, Fw=-1.0000, reward=87.049
[t=96000.0s] a=8500, e=0.0100, i=47.49deg, goal_i=34.99deg, Fw=-1.0000, reward=-331.596
