
 ------------------------------------------------- 
[t=12000.0s] a=24366, e=0.7201, i=5.2106, Fr=1.0000, Fs=0.5085, Fw=-0.6916, reward=517.961
[t=24000.0s] a=24400, e=0.7204, i=5.1808, Fr=0.6899, Fs=-1.0000, Fw=-1.0000, reward=375.722
[t=36000.0s] a=24390, e=0.7203, i=5.1670, Fr=1.0000, Fs=-0.2693, Fw=0.1061, reward=57.521
[t=48000.0s] a=24498, e=0.7218, i=5.1798, Fr=0.8402, Fs=-0.3365, Fw=-0.4282, reward=166.695
[t=60000.0s] a=24534, e=0.7223, i=5.1530, Fr=0.5547, Fs=1.0000, Fw=1.0000, reward=1065.126
[t=72000.0s] a=24555, e=0.7226, i=5.1578, Fr=1.0000, Fs=-0.6369, Fw=-1.0000, reward=458.941
[t=84000.0s] a=24408, e=0.7207, i=5.1623, Fr=0.3567, Fs=-0.4801, Fw=0.2864, reward=153.035
[t=96000.0s] a=24425, e=0.7208, i=5.1907, Fr=0.7561, Fs=1.0000, Fw=-1.0000, reward=867.036
[t=108000.0s] a=24456, e=0.7213, i=5.1800, Fr=0.0208, Fs=0.6266, Fw=-0.3571, reward=466.933
[t=120000.0s] a=24549, e=0.7225, i=5.1746, Fr=0.6812, Fs=1.0000, Fw=-1.0000, reward=932.142
[t=132000.0s] a=24591, e=0.7230, i=5.1634, Fr=-0.6301, Fs=-0.9984, Fw=-1.0000, reward=365.786
[t=144000.0s] a=24598, e=0.7231, i=5.1057, Fr=0.1465, Fs=0.2409, Fw=-0.9305, reward=500.454
[t=156000.0s] a=24495, e=0.7216, i=5.1051, Fr=1.0000, Fs=1.0000, Fw=-0.2817, reward=623.341
[t=168000.0s] a=24581, e=0.7223, i=5.0899, Fr=-0.3237, Fs=0.6447, Fw=1.0000, reward=886.522
[t=180000.0s] a=24585, e=0.7221, i=5.0859, Fr=-0.3636, Fs=-0.1440, Fw=-0.3185, reward=123.161
[t=192000.0s] a=24577, e=0.7218, i=5.0745, Fr=1.0000, Fs=-1.0000, Fw=-0.3203, reward=152.878
[t=204000.0s] a=24578, e=0.7217, i=5.0573, Fr=-0.1727, Fs=1.0000, Fw=1.0000, reward=1059.819
[t=216000.0s] a=24599, e=0.7221, i=5.0692, Fr=-0.7367, Fs=0.6332, Fw=-0.6326, reward=554.410
[t=228000.0s] a=24597, e=0.7221, i=5.0607, Fr=-1.0000, Fs=0.4931, Fw=-0.5991, reward=537.522
[t=240000.0s] a=24488, e=0.7206, i=5.0556, Fr=1.0000, Fs=0.4630, Fw=1.0000, reward=781.227
[t=252000.0s] a=24502, e=0.7206, i=5.0328, Fr=-0.2267, Fs=-0.6824, Fw=1.0000, reward=562.702
[t=264000.0s] a=24491, e=0.7201, i=5.0244, Fr=0.0404, Fs=0.1355, Fw=-1.0000, reward=536.084
[t=276000.0s] a=24526, e=0.7204, i=5.0195, Fr=0.7228, Fs=0.9861, Fw=-0.3496, reward=632.590
[t=288000.0s] a=24527, e=0.7201, i=5.0039, Fr=-0.9392, Fs=0.4033, Fw=0.8019, reward=654.658
[t=300000.0s] a=24577, e=0.7203, i=4.9759, Fr=-0.5360, Fs=0.9769, Fw=-0.6281, reward=760.352
[t=312000.0s] a=24608, e=0.7205, i=4.9749, Fr=0.4323, Fs=0.0072, Fw=1.0000, reward=535.338
[t=324000.0s] a=24566, e=0.7196, i=4.9833, Fr=0.0798, Fs=-1.0000, Fw=-0.2202, reward=79.759
[t=336000.0s] a=24556, e=0.7190, i=4.9731, Fr=0.5633, Fs=1.0000, Fw=-0.7210, reward=799.373
[t=348000.0s] a=24572, e=0.7191, i=4.9652, Fr=0.0606, Fs=1.0000, Fw=0.6656, reward=844.707
[t=360000.0s] a=24579, e=0.7188, i=4.9453, Fr=1.0000, Fs=-0.2568, Fw=-1.0000, reward=368.910
[t=372000.0s] a=24566, e=0.7181, i=4.9490, Fr=1.0000, Fs=-1.0000, Fw=-0.7969, reward=315.697
[t=384000.0s] a=24492, e=0.7166, i=4.9589, Fr=0.6691, Fs=1.0000, Fw=1.0000, reward=989.961
[t=396000.0s] a=24401, e=0.7151, i=4.9387, Fr=-0.1255, Fs=0.2592, Fw=0.1519, reward=214.751
[t=408000.0s] a=24428, e=0.7147, i=4.9013, Fr=-0.6250, Fs=-0.9702, Fw=1.0000, reward=554.538
[t=420000.0s] a=24375, e=0.7136, i=4.9083, Fr=0.6810, Fs=0.4900, Fw=0.2759, reward=378.568
[t=432000.0s] a=24503, e=0.7149, i=4.9014, Fr=0.9535, Fs=1.0000, Fw=-0.8477, reward=826.354
[t=444000.0s] a=24521, e=0.7146, i=4.8366, Fr=-0.6130, Fs=-1.0000, Fw=0.3010, reward=166.890
[t=456000.0s] a=24529, e=0.7143, i=4.8075, Fr=-0.3702, Fs=0.6556, Fw=0.3932, reward=523.955
[t=468000.0s] a=24507, e=0.7136, i=4.8101, Fr=0.0801, Fs=-1.0000, Fw=1.0000, reward=546.659
[t=480000.0s] a=24491, e=0.7126, i=4.7964, Fr=-0.8666, Fs=0.2119, Fw=-1.0000, reward=476.020
[t=492000.0s] a=24543, e=0.7127, i=4.7743, Fr=0.5653, Fs=1.0000, Fw=-0.2422, reward=611.055
[t=504000.0s] a=24674, e=0.7142, i=4.7618, Fr=-1.0000, Fs=1.0000, Fw=-0.2459, reward=605.888
[t=516000.0s] a=24682, e=0.7133, i=4.7169, Fr=0.6230, Fs=-0.2162, Fw=1.0000, reward=564.942
[t=528000.0s] a=24698, e=0.7130, i=4.7299, Fr=0.7338, Fs=-0.0982, Fw=-0.4471, reward=190.531
[t=540000.0s] a=24720, e=0.7130, i=4.7129, Fr=1.0000, Fs=0.3950, Fw=1.0000, reward=713.285
[t=552000.0s] a=24742, e=0.7127, i=4.6841, Fr=0.4129, Fs=1.0000, Fw=0.0368, reward=520.346
[t=564000.0s] a=24759, e=0.7119, i=4.6622, Fr=-0.9132, Fs=1.0000, Fw=-0.6514, reward=757.075
[t=576000.0s] a=24617, e=0.7096, i=4.6483, Fr=-0.5946, Fs=-0.1449, Fw=0.3345, reward=170.285
[t=588000.0s] a=24676, e=0.7098, i=4.6311, Fr=-0.3886, Fs=0.7950, Fw=1.0000, reward=957.777
[t=600000.0s] a=24698, e=0.7095, i=4.5951, Fr=1.0000, Fs=-0.3156, Fw=0.9565, reward=533.453
[t=612000.0s] a=24704, e=0.7091, i=4.5695, Fr=-0.2388, Fs=-0.3384, Fw=0.5749, reward=275.384
[t=624000.0s] a=24691, e=0.7084, i=4.5711, Fr=1.0000, Fs=0.9437, Fw=1.0000, reward=1022.285
[t=636000.0s] a=24707, e=0.7073, i=4.5130, Fr=-0.4953, Fs=1.0000, Fw=0.8383, reward=970.272
[t=648000.0s] a=24772, e=0.7074, i=4.4775, Fr=-1.0000, Fs=-0.0819, Fw=-1.0000, reward=465.656
[t=660000.0s] a=24826, e=0.7078, i=4.4559, Fr=0.4786, Fs=-0.0125, Fw=-0.7193, reward=293.219
[t=672000.0s] a=24857, e=0.7073, i=4.4400, Fr=0.9485, Fs=-0.1101, Fw=0.7282, reward=410.894
[t=684000.0s] a=24912, e=0.7072, i=4.3787, Fr=-1.0000, Fs=1.0000, Fw=-0.3167, reward=631.492
[t=696000.0s] a=24821, e=0.7054, i=4.3729, Fr=0.1014, Fs=-1.0000, Fw=0.0614, reward=31.082
[t=708000.0s] a=24792, e=0.7041, i=4.3535, Fr=1.0000, Fs=1.0000, Fw=0.1145, reward=563.806
[t=720000.0s] a=24821, e=0.7036, i=4.3259, Fr=1.0000, Fs=1.0000, Fw=1.0000, reward=1046.707
[t=732000.0s] a=24906, e=0.7043, i=4.3148, Fr=0.1654, Fs=1.0000, Fw=1.0000, reward=1006.776
[t=744000.0s] a=24836, e=0.7023, i=4.2862, Fr=-1.0000, Fs=1.0000, Fw=1.0000, reward=1061.273
[t=756000.0s] a=24827, e=0.7009, i=4.2247, Fr=-0.9071, Fs=-0.4817, Fw=-1.0000, reward=387.616
[t=768000.0s] a=24921, e=0.7015, i=4.1901, Fr=-1.0000, Fs=0.4218, Fw=-0.1287, reward=275.720
[t=780000.0s] a=25008, e=0.7020, i=4.1516, Fr=0.0857, Fs=0.6077, Fw=1.0000, reward=857.823
[t=792000.0s] a=25032, e=0.7010, i=4.0929, Fr=0.5915, Fs=0.9839, Fw=-0.1193, reward=537.109
[t=804000.0s] a=25067, e=0.7006, i=4.0616, Fr=-0.8830, Fs=-0.1008, Fw=-0.2516, reward=111.452
[t=816000.0s] a=25254, e=0.7028, i=4.0434, Fr=-1.0000, Fs=-0.0511, Fw=1.0000, reward=544.146
[t=828000.0s] a=25222, e=0.7013, i=3.9955, Fr=-1.0000, Fs=1.0000, Fw=-0.9706, reward=858.920
[t=840000.0s] a=25244, e=0.7007, i=3.9231, Fr=-1.0000, Fs=0.0092, Fw=0.8751, reward=467.180
[t=852000.0s] a=25400, e=0.7025, i=3.9186, Fr=-0.4877, Fs=0.2781, Fw=0.4592, reward=380.345
[t=864000.0s] a=25479, e=0.7025, i=3.8589, Fr=0.2619, Fs=0.9592, Fw=0.5317, reward=778.693
[t=876000.0s] a=25517, e=0.7015, i=3.7645, Fr=1.0000, Fs=-0.2336, Fw=-1.0000, reward=394.684
[t=888000.0s] a=25585, e=0.7015, i=3.7350, Fr=-1.0000, Fs=1.0000, Fw=-0.3972, reward=703.503
[t=900000.0s] a=25453, e=0.6988, i=3.7002, Fr=1.0000, Fs=0.2718, Fw=-1.0000, reward=523.566
[t=912000.0s] a=25448, e=0.6973, i=3.5804, Fr=-0.1320, Fs=1.0000, Fw=0.9515, reward=1034.391
[t=924000.0s] a=25531, e=0.6974, i=3.5200, Fr=0.6662, Fs=1.0000, Fw=0.7947, reward=911.519
[t=936000.0s] a=25614, e=0.6980, i=3.5197, Fr=1.0000, Fs=-0.2083, Fw=-1.0000, reward=415.047
[t=948000.0s] a=25649, e=0.6973, i=3.4269, Fr=-0.3021, Fs=1.0000, Fw=0.0091, reward=504.981
[t=960000.0s] a=25669, e=0.6961, i=3.3637, Fr=0.3974, Fs=0.4461, Fw=-0.0552, reward=246.672
[t=972000.0s] a=25909, e=0.6988, i=3.3667, Fr=0.4242, Fs=1.0000, Fw=0.6768, reward=840.145
[t=984000.0s] a=25986, e=0.6990, i=3.3230, Fr=0.1622, Fs=1.0000, Fw=1.0000, reward=1056.717
[t=996000.0s] a=26007, e=0.6977, i=3.2107, Fr=0.3836, Fs=1.0000, Fw=0.8920, reward=998.815
[t=1008000.0s] a=26111, e=0.6981, i=3.1602, Fr=1.0000, Fs=1.0000, Fw=-0.3189, reward=667.420
[t=1020000.0s] a=26110, e=0.6974, i=3.1903, Fr=-0.2216, Fs=0.2972, Fw=-0.2993, reward=313.814
[t=1032000.0s] a=26145, e=0.6964, i=3.3196, Fr=-1.0000, Fs=1.0000, Fw=0.7941, reward=796.729
[t=1044000.0s] a=26187, e=0.6956, i=3.4235, Fr=-1.0000, Fs=0.3494, Fw=-0.6058, reward=495.120
[t=1056000.0s] a=26083, e=0.6936, i=3.4403, Fr=0.3969, Fs=1.0000, Fw=-0.5243, reward=763.529
[t=1068000.0s] a=26146, e=0.6931, i=3.5071, Fr=0.0125, Fs=-0.1772, Fw=0.8361, reward=315.235
[t=1080000.0s] a=26177, e=0.6920, i=3.5818, Fr=-0.7673, Fs=1.0000, Fw=-0.4986, reward=775.774
[t=1092000.0s] a=26243, e=0.6918, i=3.6193, Fr=-0.2001, Fs=1.0000, Fw=1.0000, reward=989.983
[t=1104000.0s] a=26302, e=0.6919, i=3.6335, Fr=1.0000, Fs=0.1739, Fw=0.9323, reward=464.554
[t=1116000.0s] a=26346, e=0.6909, i=3.7280, Fr=0.1104, Fs=1.0000, Fw=0.4454, reward=664.883
[t=1128000.0s] a=26375, e=0.6896, i=3.8294, Fr=-1.0000, Fs=1.0000, Fw=0.6876, reward=782.825
[t=1140000.0s] a=26498, e=0.6906, i=3.8347, Fr=1.0000, Fs=0.4870, Fw=0.4551, reward=454.021
[t=1152000.0s] a=26549, e=0.6901, i=3.9092, Fr=1.0000, Fs=1.0000, Fw=0.5997, reward=725.438
[t=1164000.0s] a=26570, e=0.6886, i=4.0191, Fr=0.4316, Fs=-0.8771, Fw=1.0000, reward=380.299
[t=1176000.0s] a=26577, e=0.6874, i=4.0670, Fr=-1.0000, Fs=0.3149, Fw=0.2115, reward=248.190
[t=1188000.0s] a=26661, e=0.6879, i=4.0786, Fr=1.0000, Fs=-0.9882, Fw=0.3331, reward=134.618
[t=1200000.0s] a=26696, e=0.6869, i=4.1669, Fr=-1.0000, Fs=0.2359, Fw=-1.0000, reward=682.195
[t=1212000.0s] a=26713, e=0.6852, i=4.2647, Fr=-1.0000, Fs=1.0000, Fw=1.0000, reward=899.408
[t=1224000.0s] a=26871, e=0.6866, i=4.2778, Fr=1.0000, Fs=0.0967, Fw=-0.7008, reward=378.055
[t=1236000.0s] a=26940, e=0.6864, i=4.3031, Fr=0.7777, Fs=1.0000, Fw=1.0000, reward=890.295
[t=1248000.0s] a=26993, e=0.6851, i=4.3678, Fr=1.0000, Fs=0.6651, Fw=0.5306, reward=530.286
[t=1260000.0s] a=26966, e=0.6830, i=4.4659, Fr=-0.0498, Fs=-0.1530, Fw=-0.7323, reward=388.965
[t=1272000.0s] a=27075, e=0.6839, i=4.4737, Fr=-0.3867, Fs=1.0000, Fw=1.0000, reward=968.892
[t=1284000.0s] a=27112, e=0.6829, i=4.5645, Fr=1.0000, Fs=0.9297, Fw=-0.9533, reward=996.967
