
 ------------------------------------------------- 
[t=12000.0s] a=24299, e=0.7190, i=5.1833, Fr=0.1002, Fs=-0.1819, Fw=0.4938, reward=274.484
[t=24000.0s] a=24263, e=0.7185, i=5.2086, Fr=-0.2760, Fs=0.7741, Fw=-1.0000, reward=764.496
[t=36000.0s] a=24288, e=0.7188, i=5.2113, Fr=0.0381, Fs=-0.3786, Fw=0.1644, reward=82.249
[t=48000.0s] a=24238, e=0.7181, i=5.1990, Fr=0.1687, Fs=-1.0000, Fw=0.9876, reward=543.785
[t=60000.0s] a=24225, e=0.7180, i=5.1724, Fr=-0.6683, Fs=-0.9231, Fw=-0.1113, reward=39.536
[t=72000.0s] a=24189, e=0.7174, i=5.1836, Fr=-1.0000, Fs=-0.2449, Fw=0.3397, reward=165.546
[t=84000.0s] a=24337, e=0.7195, i=5.1877, Fr=-1.0000, Fs=-0.3592, Fw=-1.0000, reward=406.901
[t=96000.0s] a=24354, e=0.7197, i=5.1904, Fr=-1.0000, Fs=0.4292, Fw=-0.4326, reward=373.302
[t=108000.0s] a=24423, e=0.7206, i=5.1646, Fr=-1.0000, Fs=-0.6644, Fw=1.0000, reward=518.852
[t=120000.0s] a=24311, e=0.7191, i=5.1573, Fr=-0.5123, Fs=0.8138, Fw=-1.0000, reward=830.197
[t=132000.0s] a=24278, e=0.7182, i=5.1517, Fr=-0.5982, Fs=1.0000, Fw=1.0000, reward=1065.306
[t=144000.0s] a=24296, e=0.7182, i=5.1265, Fr=0.3296, Fs=-0.6707, Fw=-0.5219, reward=223.413
[t=156000.0s] a=24327, e=0.7186, i=5.1159, Fr=-0.5144, Fs=0.6733, Fw=0.3999, reward=549.481
[t=168000.0s] a=24285, e=0.7176, i=5.1225, Fr=-1.0000, Fs=0.3484, Fw=0.0851, reward=222.129
[t=180000.0s] a=24238, e=0.7166, i=5.1266, Fr=0.4993, Fs=0.2112, Fw=-0.6443, reward=371.585
[t=192000.0s] a=24377, e=0.7183, i=5.1385, Fr=0.1923, Fs=-1.0000, Fw=-0.0066, reward=0.972
[t=204000.0s] a=24409, e=0.7187, i=5.1357, Fr=0.3992, Fs=1.0000, Fw=1.0000, reward=1063.459
[t=216000.0s] a=24403, e=0.7185, i=5.1370, Fr=0.3063, Fs=0.5154, Fw=-1.0000, reward=653.921
[t=228000.0s] a=24421, e=0.7187, i=5.1282, Fr=1.0000, Fs=-0.7323, Fw=-0.5617, reward=269.647
[t=240000.0s] a=24396, e=0.7182, i=5.1519, Fr=-0.5207, Fs=-0.9907, Fw=-0.6497, reward=245.211
[t=252000.0s] a=24395, e=0.7180, i=5.1441, Fr=0.4536, Fs=0.8201, Fw=0.2232, reward=534.806
[t=264000.0s] a=24443, e=0.7185, i=5.1508, Fr=0.1414, Fs=-0.0589, Fw=0.7905, reward=377.896
[t=276000.0s] a=24465, e=0.7186, i=5.1565, Fr=-1.0000, Fs=-0.2595, Fw=-0.1108, reward=43.620
[t=288000.0s] a=24472, e=0.7184, i=5.1334, Fr=-0.4635, Fs=0.3321, Fw=-1.0000, reward=540.974
[t=300000.0s] a=24480, e=0.7180, i=5.1314, Fr=-1.0000, Fs=1.0000, Fw=1.0000, reward=994.620
[t=312000.0s] a=24484, e=0.7178, i=5.1340, Fr=0.1752, Fs=-0.2688, Fw=1.0000, reward=548.721
[t=324000.0s] a=24495, e=0.7175, i=5.1370, Fr=0.8549, Fs=-0.9779, Fw=-0.5506, reward=203.454
[t=336000.0s] a=24534, e=0.7178, i=5.1277, Fr=-1.0000, Fs=0.0901, Fw=0.7599, reward=433.524
[t=348000.0s] a=24430, e=0.7162, i=5.1262, Fr=1.0000, Fs=0.4453, Fw=0.8563, reward=680.767
[t=360000.0s] a=24473, e=0.7163, i=5.1235, Fr=-0.8510, Fs=0.8905, Fw=-1.0000, reward=813.115
[t=372000.0s] a=24393, e=0.7146, i=5.0849, Fr=-0.7812, Fs=-0.1728, Fw=-1.0000, reward=424.601
[t=384000.0s] a=24425, e=0.7149, i=5.0685, Fr=-0.5886, Fs=1.0000, Fw=-0.0040, reward=503.140
[t=396000.0s] a=24460, e=0.7147, i=5.0122, Fr=1.0000, Fs=-0.6957, Fw=1.0000, reward=563.402
[t=408000.0s] a=24455, e=0.7140, i=4.9987, Fr=-0.3407, Fs=1.0000, Fw=0.5564, reward=801.553
[t=420000.0s] a=24427, e=0.7134, i=4.9906, Fr=1.0000, Fs=0.1256, Fw=-1.0000, reward=524.228
[t=432000.0s] a=24459, e=0.7134, i=4.9646, Fr=-1.0000, Fs=0.4293, Fw=0.6247, reward=566.597
[t=444000.0s] a=24440, e=0.7126, i=4.9260, Fr=-0.9998, Fs=1.0000, Fw=1.0000, reward=1048.653
[t=456000.0s] a=24314, e=0.7104, i=4.9196, Fr=-1.0000, Fs=0.9313, Fw=-0.3195, reward=630.095
[t=468000.0s] a=24307, e=0.7100, i=4.8845, Fr=0.1660, Fs=1.0000, Fw=0.1818, reward=601.264
[t=480000.0s] a=24323, e=0.7097, i=4.8301, Fr=-1.0000, Fs=0.9006, Fw=-0.3107, reward=567.452
[t=492000.0s] a=24350, e=0.7097, i=4.8045, Fr=0.4451, Fs=0.0319, Fw=-1.0000, reward=526.574
[t=504000.0s] a=24463, e=0.7110, i=4.8007, Fr=0.2872, Fs=1.0000, Fw=-0.3401, reward=631.724
[t=516000.0s] a=24484, e=0.7104, i=4.7638, Fr=0.3375, Fs=0.9522, Fw=0.2916, reward=639.801
[t=528000.0s] a=24510, e=0.7103, i=4.7311, Fr=0.5058, Fs=1.0000, Fw=-1.0000, reward=988.443
