
 ------------------------------------------------- 
[t=12000.0s] a=24249, e=0.7183, i=5.1899, Fr=-1.0000, Fs=0.8181, Fw=1.0000, reward=966.765
[t=24000.0s] a=24279, e=0.7187, i=5.1530, Fr=0.2258, Fs=-0.1321, Fw=0.8998, reward=504.519
[t=36000.0s] a=24265, e=0.7183, i=5.1473, Fr=0.4372, Fs=-1.0000, Fw=1.0000, reward=501.880
[t=48000.0s] a=24368, e=0.7197, i=5.1510, Fr=0.5990, Fs=0.2239, Fw=0.9821, reward=651.933
[t=60000.0s] a=24358, e=0.7197, i=5.1259, Fr=0.4701, Fs=0.6615, Fw=0.0911, reward=382.249
[t=72000.0s] a=24444, e=0.7207, i=5.1489, Fr=-0.2768, Fs=0.4269, Fw=-0.2819, reward=342.938
[t=84000.0s] a=24464, e=0.7211, i=5.1444, Fr=-0.1668, Fs=-0.1636, Fw=-0.2803, reward=114.633
[t=96000.0s] a=24475, e=0.7214, i=5.1427, Fr=0.7993, Fs=-1.0000, Fw=-1.0000, reward=366.770
[t=108000.0s] a=24463, e=0.7214, i=5.1246, Fr=-0.1272, Fs=-0.7424, Fw=-0.7676, reward=335.778
[t=120000.0s] a=24449, e=0.7212, i=5.1205, Fr=-1.0000, Fs=-1.0000, Fw=-0.1573, reward=69.309
[t=132000.0s] a=24449, e=0.7213, i=5.1271, Fr=-1.0000, Fs=-1.0000, Fw=-1.0000, reward=365.918
[t=144000.0s] a=24461, e=0.7214, i=5.1372, Fr=0.1961, Fs=-0.4143, Fw=1.0000, reward=541.046
[t=156000.0s] a=24309, e=0.7193, i=5.1361, Fr=-0.2063, Fs=-0.1042, Fw=-1.0000, reward=454.266
[t=168000.0s] a=24339, e=0.7195, i=5.1342, Fr=0.8502, Fs=-0.1922, Fw=-1.0000, reward=368.408
[t=180000.0s] a=24367, e=0.7199, i=5.1128, Fr=-1.0000, Fs=-1.0000, Fw=-0.0330, reward=8.285
[t=192000.0s] a=24269, e=0.7184, i=5.1222, Fr=-1.0000, Fs=1.0000, Fw=0.3943, reward=704.399
[t=204000.0s] a=24229, e=0.7178, i=5.1006, Fr=-0.2247, Fs=-0.2011, Fw=-0.1333, reward=49.854
[t=216000.0s] a=24213, e=0.7175, i=5.0953, Fr=0.7113, Fs=-0.0565, Fw=-0.7457, reward=293.284
[t=228000.0s] a=24138, e=0.7163, i=5.1036, Fr=1.0000, Fs=-1.0000, Fw=-1.0000, reward=495.072
[t=240000.0s] a=24029, e=0.7146, i=5.1018, Fr=-0.1616, Fs=0.8967, Fw=-1.0000, reward=828.653
[t=252000.0s] a=24030, e=0.7142, i=5.1131, Fr=-0.8350, Fs=-0.9215, Fw=0.3112, reward=169.850
[t=264000.0s] a=24008, e=0.7135, i=5.1213, Fr=1.0000, Fs=-0.1794, Fw=0.2409, reward=113.911
[t=276000.0s] a=24096, e=0.7145, i=5.1174, Fr=-0.0377, Fs=0.2240, Fw=0.0885, reward=161.310
[t=288000.0s] a=24106, e=0.7143, i=5.1157, Fr=0.3435, Fs=0.5247, Fw=-0.6079, reward=494.221
[t=300000.0s] a=24074, e=0.7136, i=5.1277, Fr=0.1251, Fs=-0.3012, Fw=-1.0000, reward=503.998
[t=312000.0s] a=24137, e=0.7143, i=5.1306, Fr=1.0000, Fs=-0.8046, Fw=0.2983, reward=160.961
[t=324000.0s] a=24148, e=0.7143, i=5.1548, Fr=1.0000, Fs=-0.2502, Fw=0.6339, reward=356.142
[t=336000.0s] a=24181, e=0.7145, i=5.1648, Fr=-0.6696, Fs=1.0000, Fw=1.0000, reward=1001.188
[t=348000.0s] a=24240, e=0.7151, i=5.1593, Fr=-0.7215, Fs=1.0000, Fw=-0.3466, reward=640.122
[t=360000.0s] a=24320, e=0.7159, i=5.1479, Fr=0.5878, Fs=1.0000, Fw=-0.3923, reward=645.749
[t=372000.0s] a=24259, e=0.7149, i=5.0981, Fr=-0.6609, Fs=-1.0000, Fw=-1.0000, reward=450.688
[t=384000.0s] a=24309, e=0.7153, i=5.1102, Fr=-0.4640, Fs=0.3433, Fw=-1.0000, reward=589.370
[t=396000.0s] a=24266, e=0.7142, i=5.0877, Fr=0.6092, Fs=0.9873, Fw=0.6590, reward=865.784
[t=408000.0s] a=24264, e=0.7136, i=5.0614, Fr=1.0000, Fs=1.0000, Fw=1.0000, reward=1034.091
[t=420000.0s] a=24283, e=0.7137, i=5.0593, Fr=0.1304, Fs=0.6921, Fw=-0.7721, reward=680.165
[t=432000.0s] a=24295, e=0.7130, i=5.0300, Fr=0.0200, Fs=1.0000, Fw=0.4551, reward=756.897
[t=444000.0s] a=24315, e=0.7129, i=5.0318, Fr=-1.0000, Fs=-0.6511, Fw=-0.3046, reward=122.124
[t=456000.0s] a=24327, e=0.7127, i=5.0257, Fr=-1.0000, Fs=-0.5287, Fw=-1.0000, reward=458.178
[t=468000.0s] a=24240, e=0.7110, i=5.0194, Fr=-0.2984, Fs=1.0000, Fw=-0.7142, reward=765.652
[t=480000.0s] a=24262, e=0.7105, i=4.9880, Fr=1.0000, Fs=1.0000, Fw=-0.6794, reward=777.891
[t=492000.0s] a=24238, e=0.7099, i=4.9652, Fr=-1.0000, Fs=-1.0000, Fw=0.0530, reward=30.665
[t=504000.0s] a=24196, e=0.7086, i=4.9668, Fr=-0.8090, Fs=1.0000, Fw=0.4304, reward=742.000
[t=516000.0s] a=24240, e=0.7083, i=4.8970, Fr=-0.5783, Fs=1.0000, Fw=-0.3937, reward=654.242
[t=528000.0s] a=24375, e=0.7099, i=4.8920, Fr=1.0000, Fs=1.0000, Fw=0.1627, reward=570.459
[t=540000.0s] a=24502, e=0.7112, i=4.8848, Fr=1.0000, Fs=-0.5602, Fw=-0.6272, reward=235.614
[t=552000.0s] a=24526, e=0.7107, i=4.8360, Fr=0.0140, Fs=0.6890, Fw=-0.0484, reward=362.976
[t=564000.0s] a=24500, e=0.7098, i=4.8092, Fr=0.0907, Fs=1.0000, Fw=0.2423, reward=616.675
[t=576000.0s] a=24690, e=0.7120, i=4.7915, Fr=-0.3937, Fs=0.1833, Fw=0.7851, reward=526.899
[t=588000.0s] a=24674, e=0.7109, i=4.7669, Fr=-0.2053, Fs=0.7443, Fw=1.0000, reward=933.989
[t=600000.0s] a=24722, e=0.7110, i=4.7521, Fr=1.0000, Fs=0.5686, Fw=1.0000, reward=800.153
[t=612000.0s] a=24735, e=0.7109, i=4.7602, Fr=-1.0000, Fs=1.0000, Fw=-0.3951, reward=663.565
[t=624000.0s] a=24750, e=0.7101, i=4.7637, Fr=1.0000, Fs=0.4606, Fw=0.6052, reward=572.025
[t=636000.0s] a=24755, e=0.7092, i=4.7231, Fr=-0.5257, Fs=0.4726, Fw=-1.0000, reward=671.062
[t=648000.0s] a=24729, e=0.7085, i=4.7163, Fr=1.0000, Fs=0.5789, Fw=0.9067, reward=764.637
[t=660000.0s] a=24805, e=0.7087, i=4.7252, Fr=0.9055, Fs=0.6161, Fw=0.0892, reward=357.818
[t=672000.0s] a=24806, e=0.7077, i=4.6931, Fr=-1.0000, Fs=0.8466, Fw=-0.0535, reward=440.475
[t=684000.0s] a=24701, e=0.7056, i=4.6848, Fr=1.0000, Fs=-0.1596, Fw=1.0000, reward=502.110
[t=696000.0s] a=24763, e=0.7056, i=4.6572, Fr=-1.0000, Fs=1.0000, Fw=0.2056, reward=615.877
[t=708000.0s] a=24788, e=0.7047, i=4.6141, Fr=0.5956, Fs=1.0000, Fw=1.0000, reward=1054.317
[t=720000.0s] a=24861, e=0.7052, i=4.6017, Fr=-1.0000, Fs=-0.2654, Fw=1.0000, reward=480.494
[t=732000.0s] a=24889, e=0.7050, i=4.5702, Fr=0.6966, Fs=0.9894, Fw=0.5613, reward=804.679
[t=744000.0s] a=24875, e=0.7038, i=4.5356, Fr=0.0590, Fs=1.0000, Fw=-0.8897, reward=836.735
[t=756000.0s] a=24857, e=0.7027, i=4.5015, Fr=0.0220, Fs=0.8812, Fw=-0.2842, reward=578.354
[t=768000.0s] a=24831, e=0.7018, i=4.4808, Fr=0.0658, Fs=1.0000, Fw=-0.1185, reward=547.891
[t=780000.0s] a=24862, e=0.7010, i=4.4588, Fr=-0.6296, Fs=-0.4270, Fw=1.0000, reward=562.357
[t=792000.0s] a=24895, e=0.7004, i=4.4050, Fr=-0.4199, Fs=-1.0000, Fw=1.0000, reward=523.635
[t=804000.0s] a=25029, e=0.7018, i=4.4009, Fr=0.4876, Fs=1.0000, Fw=1.0000, reward=1028.696
[t=816000.0s] a=25032, e=0.7008, i=4.3680, Fr=1.0000, Fs=1.0000, Fw=0.3482, reward=695.811
[t=828000.0s] a=25111, e=0.7008, i=4.3020, Fr=-1.0000, Fs=-0.4143, Fw=-0.3588, reward=142.454
[t=840000.0s] a=25231, e=0.7020, i=4.2954, Fr=1.0000, Fs=0.7395, Fw=0.7934, reward=764.452
[t=852000.0s] a=25174, e=0.7004, i=4.2493, Fr=0.6651, Fs=1.0000, Fw=0.6014, reward=835.955
[t=864000.0s] a=25223, e=0.6998, i=4.2481, Fr=-1.0000, Fs=1.0000, Fw=0.4930, reward=771.014
[t=876000.0s] a=25257, e=0.6994, i=4.2257, Fr=0.6723, Fs=0.9501, Fw=1.0000, reward=957.843
[t=888000.0s] a=25252, e=0.6985, i=4.1849, Fr=0.8623, Fs=-0.2600, Fw=1.0000, reward=547.673
[t=900000.0s] a=25266, e=0.6973, i=4.1169, Fr=1.0000, Fs=1.0000, Fw=-1.0000, reward=874.724
[t=912000.0s] a=25212, e=0.6953, i=4.0560, Fr=-0.5522, Fs=1.0000, Fw=-0.1467, reward=562.526
[t=924000.0s] a=25336, e=0.6965, i=4.0470, Fr=-0.8288, Fs=0.6044, Fw=0.2103, reward=416.879
[t=936000.0s] a=25382, e=0.6959, i=3.9887, Fr=1.0000, Fs=0.5885, Fw=1.0000, reward=857.744
[t=948000.0s] a=25424, e=0.6952, i=3.9543, Fr=-1.0000, Fs=1.0000, Fw=0.0291, reward=510.560
[t=960000.0s] a=25581, e=0.6969, i=3.9438, Fr=1.0000, Fs=1.0000, Fw=-1.0000, reward=970.969
[t=972000.0s] a=25541, e=0.6953, i=3.8911, Fr=-0.0667, Fs=0.8015, Fw=-0.7912, reward=701.601
[t=984000.0s] a=25544, e=0.6940, i=3.8550, Fr=0.7255, Fs=-1.0000, Fw=1.0000, reward=557.278
[t=996000.0s] a=25726, e=0.6956, i=3.8216, Fr=0.1481, Fs=-0.8733, Fw=1.0000, reward=491.851
[t=1008000.0s] a=25772, e=0.6955, i=3.7913, Fr=-0.6601, Fs=1.0000, Fw=0.2349, reward=629.515
[t=1020000.0s] a=25785, e=0.6941, i=3.7192, Fr=-0.8800, Fs=-0.2984, Fw=0.2753, reward=153.946
[t=1032000.0s] a=25774, e=0.6926, i=3.6446, Fr=-0.5305, Fs=0.7078, Fw=0.9600, reward=861.478
[t=1044000.0s] a=25731, e=0.6914, i=3.6331, Fr=1.0000, Fs=1.0000, Fw=0.7537, reward=885.522
[t=1056000.0s] a=25695, e=0.6896, i=3.5742, Fr=-0.8256, Fs=0.9783, Fw=0.7956, reward=935.350
[t=1068000.0s] a=25724, e=0.6885, i=3.4772, Fr=-0.9313, Fs=0.0212, Fw=0.3642, reward=208.126
[t=1080000.0s] a=25775, e=0.6885, i=3.4461, Fr=-1.0000, Fs=0.9709, Fw=1.0000, reward=963.923
[t=1092000.0s] a=25842, e=0.6883, i=3.4192, Fr=-0.4875, Fs=0.3116, Fw=1.0000, reward=704.937
