
 ------------------------------------------------- 
[t=12000.0s] a=24428, e=0.7209, i=5.2036, Fr=0.1556, Fs=-1.0000, Fw=-0.6964, reward=267.079
[t=24000.0s] a=24415, e=0.7209, i=5.2246, Fr=-0.2735, Fs=0.8992, Fw=0.0935, reward=501.721
[t=36000.0s] a=24345, e=0.7200, i=5.2201, Fr=1.0000, Fs=0.4281, Fw=0.4591, reward=449.676
[t=48000.0s] a=24402, e=0.7207, i=5.2284, Fr=0.3598, Fs=-0.6305, Fw=0.7366, reward=403.562
[t=60000.0s] a=24401, e=0.7207, i=5.2017, Fr=-0.5482, Fs=0.2331, Fw=-0.0505, reward=134.493
[t=72000.0s] a=24503, e=0.7219, i=5.1966, Fr=-0.0015, Fs=-1.0000, Fw=0.8424, reward=437.881
[t=84000.0s] a=24354, e=0.7199, i=5.1910, Fr=-0.1642, Fs=1.0000, Fw=-0.6802, reward=781.817
[t=96000.0s] a=24305, e=0.7190, i=5.2004, Fr=-0.5827, Fs=0.4004, Fw=-0.7938, reward=492.159
[t=108000.0s] a=24351, e=0.7198, i=5.1966, Fr=-0.0023, Fs=-0.7257, Fw=-0.2646, reward=114.909
[t=120000.0s] a=24431, e=0.7208, i=5.1926, Fr=-1.0000, Fs=-0.9292, Fw=1.0000, reward=535.992
[t=132000.0s] a=24509, e=0.7218, i=5.1787, Fr=-0.1278, Fs=-0.1890, Fw=0.1480, reward=83.616
[t=144000.0s] a=24505, e=0.7213, i=5.1420, Fr=-1.0000, Fs=0.5510, Fw=-0.4751, reward=466.985
[t=156000.0s] a=24510, e=0.7213, i=5.1440, Fr=-0.6186, Fs=0.1269, Fw=-0.7683, reward=418.245
[t=168000.0s] a=24448, e=0.7200, i=5.1577, Fr=0.7684, Fs=-0.1745, Fw=1.0000, reward=563.075
[t=180000.0s] a=24456, e=0.7201, i=5.1406, Fr=-1.0000, Fs=-1.0000, Fw=-0.8745, reward=343.181
[t=192000.0s] a=24417, e=0.7194, i=5.1389, Fr=0.1018, Fs=0.4342, Fw=-1.0000, reward=706.023
[t=204000.0s] a=24350, e=0.7183, i=5.1408, Fr=-0.1125, Fs=0.2015, Fw=0.9596, reward=639.353
